주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,130,236,464,"1,102","1,203","1,517","2,348","3,370"
영업이익,25,50,66,18,-40,102,454,620
영업이익(발표기준),25,50,66,18,-40,,,
세전계속사업이익,5,49,71,26,-182,94,445,600
당기순이익,5,47,65,32,-183,79,362,470
  당기순이익(지배),5,47,56,-13,-84,72,314,370
  당기순이익(비지배),,,9,45,-99,,,
자산총계,168,593,"1,092","1,789","3,705","2,915","3,702","5,610"
부채총계,111,151,387,845,"1,065","1,127","1,552","2,100"
자본총계,56,441,705,945,"2,640","1,788","2,150","3,510"
  자본총계(지배),56,441,567,592,"1,926","1,366","1,678","2,630"
  자본총계(비지배),,,137,353,714,,,
자본금,3,44,48,156,214,183,183,210
영업활동현금흐름,-3,42,4,-49,-31,109,260,330
투자활동현금흐름,-25,-211,-272,-94,-507,-108,-139,-30
재무활동현금흐름,90,365,146,258,"1,512",68,172,60
CAPEX,18,218,36,22,75,40,35,0
FCF,-21,-175,-32,-71,-106,63,212,330
이자발생부채,97,125,258,486,757,,,
영업이익률,19.09,21.22,14.29,1.68,-3.29,6.69,19.34,18.40
순이익률,3.84,19.73,14.03,2.89,-15.19,5.21,15.40,13.95
ROE(%),18.52,18.75,,-2.24,-6.68,4.34,20.66,17.18
ROA(%),4.60,12.27,,2.21,-6.65,2.39,10.93,10.09
부채비율,197.57,34.34,54.98,89.42,40.32,63.03,72.17,59.83
자본유보율,"1,994.93",901.80,"1,082.08",281.23,748.17,,,
EPS(원),46,264,212,-43,-229,167,736,866
PER(배),,12.22,25.46,N/A,N/A,161.37,36.69,31.18
BPS(원),398,"1,714","2,026","1,903","4,530","3,213","3,946","6,185"
PBR(배),0.00,1.88,2.66,3.32,8.78,8.40,6.84,4.37
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"14,172,835","25,735,249","27,998,967","31,295,521","42,732,221",,,
