주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,115,211,237,264,278
영업이익,30,52,46,56,60
영업이익(발표기준),30,52,46,56,60
세전계속사업이익,29,52,46,-5,93
당기순이익,24,40,35,-16,72
  당기순이익(지배),24,40,35,-16,72
  당기순이익(비지배),,,,,0
자산총계,80,110,172,288,524
부채총계,52,42,48,39,191
자본총계,28,68,124,249,333
  자본총계(지배),28,68,124,249,332
  자본총계(비지배),,,,,1
자본금,5,5,20,29,30
영업활동현금흐름,-22,36,19,2,59
투자활동현금흐름,-1,0,-7,-6,-43
재무활동현금흐름,31,-31,15,-2,185
CAPEX,0,0,1,5,31
FCF,-22,36,19,-3,29
이자발생부채,31,0,7,12,74
영업이익률,26.22,24.85,19.42,21.31,21.63
순이익률,20.59,19.21,14.87,-6.22,25.81
ROE(%),,84.11,,-8.81,24.71
ROA(%),,42.58,,-7.13,17.66
부채비율,187.53,60.83,39.06,15.80,57.17
자본유보율,436.26,"1,214.66",517.85,751.15,"1,022.24"
EPS(원),91,156,129,-58,245
PER(배),,,,N/A,9.92
BPS(원),107,263,436,851,"1,105"
PBR(배),,,,4.04,2.19
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"26,021,185","26,021,185","28,357,963","29,237,963","30,027,963"
