주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,281,349,301,341,456,550,620
영업이익,11,6,-10,25,43,62,71
영업이익(발표기준),11,6,-10,25,43,,
세전계속사업이익,9,4,-8,21,44,62,70
당기순이익,8,3,-8,17,58,54,63
  당기순이익(지배),8,3,-8,17,58,54,63
  당기순이익(비지배),,,,,,,
자산총계,160,213,197,287,631,,
부채총계,84,138,130,205,319,,
자본총계,76,75,67,82,312,,
  자본총계(지배),76,75,67,82,312,,
  자본총계(비지배),,,,,,,
자본금,10,10,10,10,38,,
영업활동현금흐름,10,-24,51,64,0,,
투자활동현금흐름,-5,3,-4,-6,-266,,
재무활동현금흐름,-4,15,-17,-6,269,,
CAPEX,3,2,1,4,206,,
FCF,8,-27,49,60,-206,,
이자발생부채,26,45,28,28,127,,
영업이익률,4.08,1.61,-3.24,7.33,9.39,11.17,11.45
순이익률,2.90,0.87,-2.73,4.96,12.80,9.81,10.16
ROE(%),11.32,4.00,-11.57,22.71,29.66,,
ROA(%),5.58,1.62,-4.01,6.99,12.73,,
부채비율,110.60,183.58,194.60,249.67,102.32,,
자본유보율,658.53,650.37,568.23,708.57,723.70,,
EPS(원),166,63,-174,320,832,720,840
PER(배),,,,,35.11,40.07,34.35
BPS(원),"1,546","1,592","1,418","1,411","4,160",,
PBR(배),0.00,0.00,0.00,0.00,7.02,,
현금DPS(원),0,0,0,0,50,,
현금배당수익률,,,,,0.17,,
현금배당성향(%),0.00,0.00,0.00,0.00,6.42,,
발행주식수(보통주),"4,368,000","4,176,000","4,176,000","5,812,320","7,500,789",,
