주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,871","2,403","2,845","2,579","3,258"
영업이익,104,58,131,98,123
영업이익(발표기준),104,58,131,98,123
세전계속사업이익,27,73,-52,-174,203
당기순이익,37,66,-26,-309,175
  당기순이익(지배),37,66,-26,-309,176
  당기순이익(비지배),,,,0,-1
자산총계,"1,860","1,770","2,502","2,470","2,726"
부채총계,676,556,"1,215",822,566
자본총계,"1,184","1,215","1,286","1,649","2,161"
  자본총계(지배),"1,184","1,215","1,286","1,629","2,142"
  자본총계(비지배),,,,20,19
자본금,95,95,108,144,160
영업활동현금흐름,-8,120,122,144,91
투자활동현금흐름,-108,-18,-536,-229,-171
재무활동현금흐름,235,-161,528,-7,26
CAPEX,79,89,327,164,256
FCF,-86,31,-205,-20,-165
이자발생부채,333,251,580,393,223
영업이익률,3.61,2.40,4.62,3.78,3.78
순이익률,1.30,2.75,-0.91,-11.98,5.36
ROE(%),3.19,5.51,-2.06,-21.17,9.32
ROA(%),2.07,3.64,-1.21,-12.43,6.72
부채비율,57.08,45.73,94.46,49.84,26.18
자본유보율,"1,162.86","1,216.90","1,163.34","1,109.99","1,270.16"
EPS(원),196,347,-125,"-1,275",565
PER(배),24.74,19.00,N/A,N/A,10.77
BPS(원),"6,215","6,593","6,126","5,760","6,806"
PBR(배),0.78,1.00,1.30,1.77,0.89
현금DPS(원),50,0,0,0,
현금배당수익률,1.03,0.00,0.00,0.00,
현금배당성향(%),25.50,0.00,0.00,0.00,
발행주식수(보통주),"19,050,000","19,050,000","21,621,418","28,899,918","32,089,259"
