주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,694,464,341,919,661
영업이익,-25,27,22,111,24
영업이익(발표기준),-25,27,22,111,24
세전계속사업이익,-105,30,17,103,14
당기순이익,-102,32,14,82,9
  당기순이익(지배),-102,32,14,82,16
  당기순이익(비지배),,,,0,-6
자산총계,581,687,781,"1,126",998
부채총계,199,263,322,525,393
자본총계,382,424,459,601,605
  자본총계(지배),382,424,459,570,581
  자본총계(비지배),,,,30,24
자본금,33,35,37,42,42
영업활동현금흐름,-54,29,39,214,-94
투자활동현금흐름,-154,-39,-12,-16,-185
재무활동현금흐름,180,94,36,-82,89
CAPEX,131,60,12,30,171
FCF,-185,-30,28,184,-265
이자발생부채,96,186,211,139,236
영업이익률,-3.64,5.80,6.33,12.13,3.57
순이익률,-14.69,6.92,4.23,8.94,1.41
ROE(%),-33.16,7.96,3.27,,2.70
ROA(%),-18.48,5.06,1.97,,0.88
부채비율,52.03,61.96,70.15,87.47,64.98
자본유보율,"1,015.24","1,145.03","1,159.64","1,318.45","1,340.88"
EPS(원),"-1,602",463,198,"1,030",185
PER(배),N/A,8.92,42.96,11.85,69.67
BPS(원),"5,764","6,191","6,319","7,128","7,257"
PBR(배),1.24,0.67,1.34,1.71,1.78
현금DPS(원),0,0,0,200,50
현금배당수익률,0.00,0.00,0.00,1.64,0.39
현금배당성향(%),0.00,0.00,0.00,19.55,25.77
발행주식수(보통주),"6,625,485","7,015,485","7,425,062","8,385,722","8,385,722"
