주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,85,97,92,457,"3,218"
영업이익,-1,-10,-9,254,"1,936"
영업이익(발표기준),-1,-10,-9,254,"1,936"
세전계속사업이익,-31,-9,-12,210,"1,967"
당기순이익,-47,-9,-12,209,"1,512"
  당기순이익(지배),-47,-9,-12,209,"1,512"
  당기순이익(비지배),,,,,
자산총계,283,343,365,682,"3,407"
부채총계,127,182,212,195,"1,387"
자본총계,156,161,152,487,"2,020"
  자본총계(지배),156,161,152,487,"2,020"
  자본총계(비지배),,,,,
자본금,26,28,28,34,34
영업활동현금흐름,-30,-7,8,143,"2,050"
투자활동현금흐름,-98,-61,-13,-59,-314
재무활동현금흐름,137,70,27,27,-121
CAPEX,12,10,30,151,181
FCF,-42,-17,-22,-8,"1,870"
이자발생부채,97,113,145,119,28
영업이익률,-1.61,-10.69,-9.56,55.47,60.15
순이익률,-55.44,-8.83,-13.40,45.80,46.98
ROE(%),-33.56,-5.38,-7.82,,120.63
ROA(%),-19.18,-2.72,-3.46,,73.95
부채비율,81.62,112.66,139.36,40.10,68.67
자본유보율,488.04,477.18,443.19,"1,324.56","5,726.92"
EPS(원),-179,-31,-44,642,"4,418"
PER(배),N/A,N/A,N/A,14.80,3.78
BPS(원),592,576,542,"1,424","5,908"
PBR(배),3.58,2.37,2.57,6.67,2.83
현금DPS(원),0,0,0,0,200
현금배당수익률,0.00,0.00,0.00,0.00,1.20
현금배당성향(%),0.00,0.00,0.00,0.00,4.52
발행주식수(보통주),"26,357,049","28,042,009","28,172,918","34,223,815","34,223,815"
