주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,38,41,37,38
영업이익,,5,-17,-18,-23
영업이익(발표기준),,5,-17,-18,-23
세전계속사업이익,,-14,-25,-51,-111
당기순이익,,-14,-20,-45,-109
  당기순이익(지배),,-14,-20,-45,-109
  당기순이익(비지배),,,,,
자산총계,,129,233,252,458
부채총계,,125,167,182,73
자본총계,,4,66,70,385
  자본총계(지배),,4,66,70,385
  자본총계(비지배),,,,,
자본금,,4,4,24,31
영업활동현금흐름,,5,42,1,-5
투자활동현금흐름,,-9,-125,-3,-154
재무활동현금흐름,,,76,28,221
CAPEX,,3,100,9,8
FCF,,2,-58,-8,-13
이자발생부채,,80,90,91,0
영업이익률,,12.61,-41.52,-49.75,-62.25
순이익률,,-36.60,-49.55,-121.34,-288.50
ROE(%),,,-57.91,-65.61,-47.72
ROA(%),,,-11.21,-18.37,-30.55
부채비율,,"2,958.69",253.57,260.53,19.02
자본유보율,,11.80,"1,366.51",184.98,"1,479.29"
EPS(원),,-338,-476,-883,"-1,806"
PER(배),,,,,N/A
BPS(원),,104,"1,374","1,363","6,546"
PBR(배),,0.00,0.00,0.00,5.10
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"3,776,700","3,776,700","4,484,200","4,888,200","6,168,195"
