주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,215,251,210,359,476
영업이익,13,18,11,78,136
영업이익(발표기준),13,18,11,78,136
세전계속사업이익,-9,-39,5,74,135
당기순이익,-7,-24,6,60,119
  당기순이익(지배),-7,-24,6,60,119
  당기순이익(비지배),,,,,
자산총계,480,403,420,467,"1,608"
부채총계,276,225,237,222,537
자본총계,204,178,183,245,"1,071"
  자본총계(지배),204,178,183,245,"1,071"
  자본총계(비지배),,,,,
자본금,200,200,200,200,251
영업활동현금흐름,18,99,23,113,165
투자활동현금흐름,-68,-102,-24,-120,"-1,173"
재무활동현금흐름,44,5,3,83,"1,011"
CAPEX,22,33,24,7,206
FCF,-4,65,0,106,-41
이자발생부채,76,82,94,188,476
영업이익률,6.00,7.22,5.01,21.72,28.64
순이익률,-3.46,-9.65,2.65,16.79,25.04
ROE(%),,-12.67,3.08,28.20,18.11
ROA(%),,-5.48,1.35,13.60,11.48
부채비율,135.28,126.66,129.31,90.94,50.13
자본유보율,5.36,-6.66,-3.37,26.34,330.27
EPS(원),-19,-60,14,151,256
PER(배),,,,,27.36
BPS(원),510,445,458,612,"2,180"
PBR(배),0.00,0.00,0.00,0.00,3.22
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"40,000,000","40,000,000","40,000,000","40,000,000","50,153,846"
