주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,268,246,254,341,432
영업이익,21,10,-17,49,58
영업이익(발표기준),21,10,-17,49,58
세전계속사업이익,15,4,-25,31,-27
당기순이익,14,4,-25,25,-33
  당기순이익(지배),14,4,-25,25,-33
  당기순이익(비지배),,,,0,0
자산총계,243,350,382,439,713
부채총계,218,303,314,441,408
자본총계,25,48,68,-1,305
  자본총계(지배),25,48,68,-1,305
  자본총계(비지배),,,,0,0
자본금,8,8,8,8,52
영업활동현금흐름,29,27,5,24,22
투자활동현금흐름,-1,-17,-45,-11,135
재무활동현금흐름,-11,39,,-3,-9
CAPEX,2,4,6,4,12
FCF,28,23,-1,19,10
이자발생부채,155,144,144,187,142
영업이익률,7.99,4.08,-6.58,14.47,13.47
순이익률,5.18,1.66,-9.71,7.18,-7.65
ROE(%),264.15,11.33,-42.80,,-21.75
ROA(%),6.23,1.38,-6.74,,-5.74
부채비율,882.02,637.17,463.65,"-31,899.42",133.90
자본유보율,-104.40,169.60,-126.45,-996.80,247.41
EPS(원),30,9,-53,53,-66
PER(배),,,,,N/A
BPS(원),53,102,145,-3,581
PBR(배),,,,,3.56
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),,,,0.00,
발행주식수(보통주),"46,505,747","46,505,747","46,505,747","46,505,747","52,483,813"
