주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,,101,141
영업이익,,,,22,28
영업이익(발표기준),,,,22,28
세전계속사업이익,,,,23,29
당기순이익,,,,17,23
  당기순이익(지배),,,,17,23
  당기순이익(비지배),,,,,
자산총계,,,,66,96
부채총계,,,,14,22
자본총계,,,,52,75
  자본총계(지배),,,,52,75
  자본총계(비지배),,,,,
자본금,,,,3,3
영업활동현금흐름,,,,18,16
투자활동현금흐름,,,,-2,7
재무활동현금흐름,,,,-1,-1
CAPEX,,,,0,10
FCF,,,0,18,7
이자발생부채,,,0,0,1
영업이익률,,,,22.27,20.06
순이익률,,,,17.11,16.35
ROE(%),,,,,36.57
ROA(%),,,,,28.43
부채비율,,,,27.58,29.40
자본유보율,,,,"1,616.92","2,385.34"
EPS(원),,,,98,131
PER(배),,,,,
BPS(원),,,,292,423
PBR(배),,,,,
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),,,,0.00,
발행주식수(보통주),"17,647,000","17,647,000","17,647,000","17,647,000","17,647,000"
