주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,564,552,637,832,904
영업이익,-69,7,16,15,25
영업이익(발표기준),-69,7,16,15,25
세전계속사업이익,-76,6,19,-1,22
당기순이익,-78,-21,-9,11,21
  당기순이익(지배),-78,-21,-22,11,19
  당기순이익(비지배),0,,14,0,2
자산총계,445,436,640,611,887
부채총계,227,179,382,334,367
자본총계,218,257,258,278,521
  자본총계(지배),216,257,229,251,495
  자본총계(비지배),2,,29,26,25
자본금,152,180,180,183,259
영업활동현금흐름,-34,1,3,97,74
투자활동현금흐름,25,-41,-38,-68,-153
재무활동현금흐름,-26,31,-4,57,147
CAPEX,0,0,3,19,7
FCF,-34,0,-1,78,68
이자발생부채,85,41,98,139,88
영업이익률,-12.17,1.27,2.49,1.86,2.74
순이익률,-13.75,-3.89,-1.39,1.31,2.36
ROE(%),-30.47,-9.03,,4.58,5.18
ROA(%),-15.77,-4.87,,1.74,2.85
부채비율,104.48,69.66,148.00,120.25,70.45
자본유보율,41.94,42.66,26.97,37.12,91.15
EPS(원),-256,-62,-62,30,49
PER(배),N/A,N/A,N/A,47.15,40.91
BPS(원),713,715,636,685,956
PBR(배),1.82,2.48,2.11,2.08,2.08
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"30,309,683","35,957,518","35,957,518","36,676,928","51,789,802"
