주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,51,32,35,127,158
영업이익,13,1,-9,32,31
영업이익(발표기준),13,1,-9,32,31
세전계속사업이익,12,1,-9,31,-107
당기순이익,10,1,-9,33,-110
  당기순이익(지배),10,1,-9,33,-110
  당기순이익(비지배),,,,,
자산총계,27,38,64,87,206
부채총계,11,12,37,23,43
자본총계,16,27,27,64,163
  자본총계(지배),16,27,27,64,163
  자본총계(비지배),,,,,
자본금,0,5,5,5,36
영업활동현금흐름,10,-2,3,39,44
투자활동현금흐름,-4,-9,-5,-6,60
재무활동현금흐름,,11,10,-1,-1
CAPEX,3,4,1,1,7
FCF,7,-5,2,38,37
이자발생부채,0,1,5,2,10
영업이익률,25.45,3.37,-25.52,25.55,19.32
순이익률,19.40,3.18,-26.55,26.07,-69.62
ROE(%),,4.75,-34.48,72.96,-97.35
ROA(%),,3.11,-18.13,43.82,-75.48
부채비율,68.97,42.77,137.51,36.36,26.10
자본유보율,"15,868.25",438.89,403.76,"1,065.90",353.09
EPS(원),33,3,-27,94,-310
PER(배),,,,,N/A
BPS(원),53,81,77,179,458
PBR(배),,,,,10.66
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),,,,0.00,
발행주식수(보통주),"30,096,726","33,106,399","35,070,436","35,615,566","35,615,566"
