주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,957,658,329,279,512
영업이익,-44,-180,-10,6,-36
영업이익(발표기준),-44,-180,-10,6,-36
세전계속사업이익,-110,"-1,214",-115,14,-51
당기순이익,-110,"-1,230",-116,14,-51
  당기순이익(지배),-98,"-1,230",-116,14,-51
  당기순이익(비지배),-12,,,,
자산총계,"1,683",697,478,420,469
부채총계,"1,109",410,232,155,223
자본총계,574,287,247,265,246
  자본총계(지배),579,287,247,265,246
  자본총계(비지배),-5,,,,
자본금,181,194,309,317,359
영업활동현금흐름,135,-51,-128,-61,7
투자활동현금흐름,-399,-319,165,73,-55
재무활동현금흐름,284,322,-38,-5,37
CAPEX,362,,52,5,67
FCF,-226,-51,-180,-65,-60
이자발생부채,817,155,80,75,98
영업이익률,-4.59,-27.38,-3.00,2.14,-6.95
순이익률,-11.52,-186.82,-35.25,5.05,-10.05
ROE(%),-19.13,-269.79,,5.51,-20.14
ROA(%),-7.34,-108.46,,3.14,-11.57
부채비율,193.16,142.65,93.93,58.45,90.87
자본유보율,219.39,47.99,-20.09,-16.35,-31.51
EPS(원),"-5,465","-43,520",-281,22,-74
PER(배),N/A,N/A,N/A,34.59,N/A
BPS(원),"27,784",740,400,418,342
PBR(배),0.21,4.49,3.85,1.84,2.78
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"2,083,588","38,833,837","61,732,866","63,320,603","71,750,792"
