주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"5,000","5,574","7,505","8,756","10,529"
영업이익,91,-12,206,497,428
영업이익(발표기준),91,-12,206,497,428
세전계속사업이익,43,-132,112,394,282
당기순이익,40,-134,111,304,188
  당기순이익(지배),40,-145,47,124,66
  당기순이익(비지배),,12,64,180,122
자산총계,"3,523","3,463","4,707","5,257","6,875"
부채총계,"2,516","2,726","3,514","4,112","5,866"
자본총계,"1,007",737,"1,194","1,145","1,009"
  자본총계(지배),"1,007",718,861,786,798
  자본총계(비지배),,19,333,359,211
자본금,180,180,180,180,180
영업활동현금흐름,227,61,397,672,-433
투자활동현금흐름,-581,-213,-191,-158,-643
재무활동현금흐름,358,199,-161,-100,917
CAPEX,524,213,289,298,261
FCF,-297,-153,107,374,-694
이자발생부채,728,944,"1,180","1,380","2,582"
영업이익률,1.82,-0.22,2.75,5.68,4.06
순이익률,0.80,-2.40,1.47,3.48,1.78
ROE(%),4.05,-16.84,5.92,15.03,8.32
ROA(%),1.24,-3.82,2.71,6.11,3.10
부채비율,249.87,369.92,294.32,359.12,581.36
자본유보율,469.97,304.55,357.32,419.16,439.14
EPS(원),112,-404,130,344,183
PER(배),25.29,N/A,22.81,7.55,20.90
BPS(원),"2,831","2,018","2,420","2,211","2,245"
PBR(배),1.00,1.29,1.23,1.18,1.71
현금DPS(원),50,,,,
현금배당수익률,1.77,,,,
현금배당성향(%),44.26,0.00,0.00,0.00,
발행주식수(보통주),"35,967,295","35,967,295","35,967,295","35,967,295","35,967,295"
