주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,179,243,252,192,224
영업이익,14,18,17,-18,-9
영업이익(발표기준),14,18,17,-18,-9
세전계속사업이익,18,22,24,-15,-3
당기순이익,18,24,25,-1,7
  당기순이익(지배),18,24,25,-1,7
  당기순이익(비지배),,0,0,0,0
자산총계,459,688,647,732,801
부채총계,100,73,33,98,99
자본총계,359,615,614,634,702
  자본총계(지배),359,615,614,633,698
  자본총계(비지배),,,0,0,4
자본금,10,56,56,56,57
영업활동현금흐름,-2,5,42,-6,14
투자활동현금흐름,-25,-274,-10,-98,2
재무활동현금흐름,196,203,-69,103,44
CAPEX,64,103,9,23,14
FCF,-65,-98,33,-29,0
이자발생부채,72,43,0,81,75
영업이익률,7.92,7.21,6.67,-9.17,-4.15
순이익률,9.94,9.74,9.83,-0.72,3.26
ROE(%),7.34,,4.05,-0.22,1.09
ROA(%),5.09,,3.72,-0.20,0.95
부채비율,27.77,11.85,5.31,15.49,14.12
자본유보율,"3,681.84",989.68,"1,033.33","1,072.86","1,116.35"
EPS(원),236,241,221,-12,65
PER(배),,71.36,56.01,N/A,382.37
BPS(원),"3,782","5,467","5,567","5,761","6,164"
PBR(배),0.00,3.15,2.23,2.39,4.01
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,500,000","11,251,000","11,251,000","11,251,000","11,358,568"
