주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,47,53,58,77,75
영업이익,-32,-80,-70,-60,-48
영업이익(발표기준),-32,-80,-70,-60,-48
세전계속사업이익,-34,-113,-185,-76,-80
당기순이익,-37,-113,-172,-72,-79
  당기순이익(지배),-37,-113,-171,-64,-73
  당기순이익(비지배),,,-1,-8,-6
자산총계,570,612,300,306,413
부채총계,272,368,65,60,75
자본총계,298,244,236,247,338
  자본총계(지배),298,244,244,257,354
  자본총계(비지배),,,-9,-11,-17
자본금,30,97,111,115,143
영업활동현금흐름,-21,-84,-41,-69,-28
투자활동현금흐름,-17,-310,167,11,6
재무활동현금흐름,305,106,-178,62,8
CAPEX,19,36,23,4,9
FCF,-41,-119,-65,-73,-37
이자발생부채,257,346,49,47,58
영업이익률,-69.57,-150.46,-121.39,-77.69,-64.07
순이익률,-80.14,-213.90,-299.37,-93.27,-105.55
ROE(%),-12.72,,-70.05,-25.54,-23.78
ROA(%),-8.64,,-37.75,-23.66,-21.94
부채비율,91.24,151.28,27.55,24.20,22.13
자본유보율,850.43,123.40,111.89,101.04,130.75
EPS(원),-208,-553,-750,-278,-298
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,489","1,151","1,066","1,114","1,235"
PBR(배),8.34,5.33,7.26,6.95,6.27
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"18,193,164","19,333,234","22,130,432","23,078,062","28,692,885"
