주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,33,54,38,414,772
영업이익,-26,-46,-71,225,348
영업이익(발표기준),-26,-46,-71,225,348
세전계속사업이익,-84,-409,-96,-408,433
당기순이익,-84,-409,-96,-411,362
  당기순이익(지배),-84,-409,-96,-410,362
  당기순이익(비지배),,,0,-1,0
자산총계,184,244,454,725,"1,556"
부채총계,18,89,211,93,548
자본총계,167,155,243,631,"1,007"
  자본총계(지배),167,155,243,631,"1,007"
  자본총계(비지배),,,0,0,0
자본금,27,57,65,76,77
영업활동현금흐름,-21,-31,-40,146,390
투자활동현금흐름,-124,-70,-212,-6,-258
재무활동현금흐름,163,93,267,7,359
CAPEX,2,19,19,44,52
FCF,-23,-50,-59,102,337
이자발생부채,5,60,103,35,261
영업이익률,-78.83,-84.48,-183.85,54.44,45.09
순이익률,-254.16,-750.91,-249.08,-99.32,46.83
ROE(%),-66.48,-254.51,,-93.85,44.14
ROA(%),-59.16,-191.11,,-69.68,31.71
부채비율,10.48,57.68,86.76,14.75,54.41
자본유보율,509.03,170.55,276.10,726.18,"1,203.80"
EPS(원),-867,"-3,597",-756,"-2,926","2,301"
PER(배),N/A,N/A,N/A,N/A,6.08
BPS(원),"1,526","1,318","1,838","4,126","6,217"
PBR(배),4.91,9.71,2.98,4.92,2.25
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,897,786","11,426,006","12,926,006","15,294,966","15,460,416"
