주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,831,659,863,890,785
영업이익,56,21,35,44,37
영업이익(발표기준),56,21,35,44,37
세전계속사업이익,54,13,28,40,35
당기순이익,41,10,21,30,25
  당기순이익(지배),41,10,21,30,25
  당기순이익(비지배),,,,,
자산총계,"1,356","1,308","1,497","1,453","1,404"
부채총계,593,610,798,744,649
자본총계,762,698,699,709,755
  자본총계(지배),762,698,699,709,755
  자본총계(비지배),,,,,
자본금,264,264,264,264,264
영업활동현금흐름,197,189,191,246,355
투자활동현금흐름,-70,-195,-111,-144,-140
재무활동현금흐름,-182,-78,-117,-73,-11
CAPEX,98,200,102,112,103
FCF,99,-10,90,134,253
이자발생부채,233,270,283,263,228
영업이익률,6.69,3.13,4.02,4.98,4.69
순이익률,4.96,1.52,2.40,3.38,3.20
ROE(%),5.29,1.38,2.96,4.28,3.43
ROA(%),2.85,0.75,1.48,2.04,1.76
부채비율,77.84,87.29,114.11,104.81,85.94
자본유보율,217.61,212.33,211.46,214.14,220.23
EPS(원),78,19,39,57,48
PER(배),19.25,132.60,83.73,78.81,67.50
BPS(원),"1,596","1,517","1,519","1,541","1,579"
PBR(배),0.94,1.66,2.16,2.91,2.03
현금DPS(원),50,50,50,50,50
현금배당수익률,3.33,1.98,1.52,1.11,1.56
현금배당성향(%),58.23,229.11,111.14,76.43,95.11
발행주식수(보통주),"52,860,000","52,860,000","52,860,000","52,860,000","52,860,000"
