주요재무정보,"2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,0,0
영업이익,0,0
영업이익(발표기준),0,0
세전계속사업이익,0,0
당기순이익,0,0
  당기순이익(지배),0,0
  당기순이익(비지배),0,0
자산총계,118,118
부채총계,9,9
자본총계,109,110
  자본총계(지배),109,110
  자본총계(비지배),,
자본금,6,6
영업활동현금흐름,0,0
투자활동현금흐름,-100,-1
재무활동현금흐름,118,0
CAPEX,,
FCF,,
이자발생부채,9,9
영업이익률,,
순이익률,,
ROE(%),,0.35
ROA(%),,0.33
부채비율,7.99,8.15
자본유보율,"1,704.36","1,710.75"
EPS(원),-28,6
PER(배),N/A,330.81
BPS(원),"1,804","1,811"
PBR(배),1.12,1.17
현금DPS(원),,
현금배당수익률,,
현금배당성향(%),0.00,
발행주식수(보통주),"6,050,000","6,050,000"
