주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,440,487,839,"1,001",955
영업이익,3,4,7,4,-63
영업이익(발표기준),3,4,7,4,-63
세전계속사업이익,29,-29,-427,31,-90
당기순이익,18,-23,-383,-5,-82
  당기순이익(지배),18,-23,-383,-5,-82
  당기순이익(비지배),,,,,
자산총계,"1,067","1,137","1,255","1,273","1,411"
부채총계,490,580,815,581,734
자본총계,577,557,440,692,677
  자본총계(지배),577,557,440,692,677
  자본총계(비지배),,,,,
자본금,116,116,123,126,128
영업활동현금흐름,-33,-51,-18,61,-99
투자활동현금흐름,-2,-8,-20,-40,-39
재무활동현금흐름,58,43,54,-29,189
CAPEX,10,67,29,46,25
FCF,-43,-118,-46,15,-124
이자발생부채,407,440,420,365,472
영업이익률,0.71,0.75,0.86,0.44,-6.57
순이익률,4.03,-4.63,-45.71,-0.48,-8.63
ROE(%),3.14,-3.98,,-0.84,-12.03
ROA(%),1.70,-2.05,,-0.38,-6.14
부채비율,84.89,104.05,185.27,83.95,108.36
자본유보율,394.52,375.94,257.91,366.01,350.55
EPS(원),15,-19,-321,-4,-65
PER(배),51.12,N/A,N/A,N/A,N/A
BPS(원),496,479,357,548,531
PBR(배),1.57,2.47,16.74,9.49,7.66
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"116,391,006","116,391,006","123,154,517","126,348,384","127,617,473"
