주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(GAAP개별)","2021/12
(IFRS별도)"
매출액,22,8,7,1,133
영업이익,-67,-56,-66,-43,-43
영업이익(발표기준),-67,-56,-66,-43,-43
세전계속사업이익,-69,-53,-73,-48,-50
당기순이익,-69,-53,-73,-48,-50
  당기순이익(지배),-69,-53,-73,-48,-50
  당기순이익(비지배),,,,,
자산총계,190,134,88,80,146
부채총계,6,3,29,69,64
자본총계,184,131,58,11,82
  자본총계(지배),184,131,58,11,82
  자본총계(비지배),,,,,
자본금,21,21,21,21,22
영업활동현금흐름,-71,-56,-37,-38,-30
투자활동현금흐름,-31,53,-8,-8,-8
재무활동현금흐름,,,25,37,46
CAPEX,0,0,0,0,0
FCF,-72,-56,-38,-38,-30
이자발생부채,0,0,25,62,11
영업이익률,-308.71,-750.30,"-1,002.97","-3,419.12",-32.43
순이익률,-314.74,-701.56,"-1,115.01","-3,746.68",-37.56
ROE(%),-31.46,-33.45,-76.91,-137.93,-107.94
ROA(%),-29.88,-32.52,-65.66,-56.87,-44.21
부채비율,3.18,2.39,50.28,644.54,78.58
자본유보율,763.97,516.37,172.98,-49.85,69.15
EPS(원),-62,-47,-65,-42,-42
PER(배),,,,,
BPS(원),165,118,52,10,62
PBR(배),,,,,
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),,,,0.00,0.00
발행주식수(보통주),"68,280,042","68,280,042","69,084,229","69,175,269","127,754,007"
