주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,706,762,408,441,363
영업이익,57,41,-135,43,28
영업이익(발표기준),57,41,-135,43,28
세전계속사업이익,42,44,-150,2,32
당기순이익,11,-78,-272,-38,-49
  당기순이익(지배),15,-69,-265,-38,-49
  당기순이익(비지배),-5,-10,-7,,
자산총계,"1,715","1,645","1,699",868,832
부채총계,736,736,"1,037",181,184
자본총계,979,909,662,687,647
  자본총계(지배),928,863,622,687,662
  자본총계(비지배),51,,40,,-15
자본금,106,106,106,139,148
영업활동현금흐름,66,81,-15,44,-32
투자활동현금흐름,-96,-110,-49,6,122
재무활동현금흐름,48,16,101,0,-32
CAPEX,13,27,9,3,5
FCF,53,54,-24,41,-37
이자발생부채,59,40,188,95,134
영업이익률,8.12,5.38,-33.09,9.71,7.59
순이익률,1.49,-10.29,-66.74,-8.65,-13.55
ROE(%),1.60,-7.69,-35.68,-5.83,-7.28
ROA(%),0.61,-4.67,-16.28,-2.97,-5.78
부채비율,75.22,80.96,156.63,26.40,28.46
자본유보율,864.54,783.35,541.09,440.38,388.38
EPS(원),71,-325,"-1,248",-178,-168
PER(배),70.19,N/A,N/A,N/A,N/A
BPS(원),"4,720","4,352","3,031","2,540","2,291"
PBR(배),1.05,0.71,0.66,0.72,1.06
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"21,223,160","21,223,160","21,223,160","27,746,424","29,685,769"
