주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,151,221,306,242,383,446,479
영업이익,18,41,41,15,136,146,158
영업이익(발표기준),18,41,41,15,136,,
세전계속사업이익,16,0,32,-18,134,145,156
당기순이익,15,-7,26,-21,105,108,117
  당기순이익(지배),15,-7,26,-21,105,108,
  당기순이익(비지배),,,,,,,
자산총계,787,838,834,742,952,,
부채총계,271,603,571,500,241,,
자본총계,516,235,263,243,710,,
  자본총계(지배),516,235,263,243,710,,
  자본총계(비지배),,,,,,,
자본금,42,30,30,30,38,,
영업활동현금흐름,-2,-22,111,175,230,,
투자활동현금흐름,-41,-5,-11,-5,-5,,
재무활동현금흐름,-28,15,-35,-120,-147,,
CAPEX,2,3,11,6,4,,
FCF,-4,-25,100,169,226,,
이자발생부채,247,460,467,412,96,,
영업이익률,12.23,18.55,13.28,6.26,35.58,32.73,32.98
순이익률,9.68,-3.25,8.65,-8.63,27.40,24.21,24.43
ROE(%),2.86,,10.62,-8.27,22.02,,
ROA(%),1.83,,3.16,-2.65,12.39,,
부채비율,52.42,256.01,217.60,205.92,33.97,,
자본유보율,"1,143.10",675.84,762.19,692.58,"1,341.47",,
EPS(원),234,-116,424,-335,"1,426","1,206",
PER(배),,,,,,17.16,
BPS(원),"8,287","3,777","4,215","3,941","9,369",,
PBR(배),0.00,0.00,0.00,0.00,0.00,,
현금DPS(원),0,0,0,0,,,
현금배당수익률,,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"6,000,000","6,000,000","6,000,000","6,000,000","7,581,420",,
