주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,553,242,266,219,344
영업이익,3,-21,-40,-42,44
영업이익(발표기준),3,-21,-40,-42,44
세전계속사업이익,-38,-83,-60,-94,-249
당기순이익,-39,-135,39,-88,-251
  당기순이익(지배),-39,-135,39,-88,-251
  당기순이익(비지배),,,,,
자산총계,"1,197","1,448",901,912,994
부채총계,784,936,358,335,620
자본총계,413,512,543,577,374
  자본총계(지배),413,512,543,577,374
  자본총계(비지배),,,,,
자본금,37,37,37,37,73
영업활동현금흐름,-17,42,-115,-22,39
투자활동현금흐름,17,-93,491,-16,-229
재무활동현금흐름,-5,46,-357,47,201
CAPEX,22,90,18,1,0
FCF,-39,-48,-134,-23,39
이자발생부채,564,609,254,249,422
영업이익률,0.62,-8.84,-15.03,-19.05,12.66
순이익률,-7.08,-55.63,14.56,-40.01,-73.08
ROE(%),-9.00,-29.11,7.33,-15.66,-52.81
ROA(%),-3.23,-10.19,3.29,-9.68,-26.35
부채비율,189.54,182.55,65.85,58.06,165.68
자본유보율,"1,437.07",196.56,"1,235.84","1,620.62",418.59
EPS(원),-267,-918,264,-598,"-1,711"
PER(배),N/A,N/A,6.08,N/A,N/A
BPS(원),"3,027","3,753","3,979","3,936","2,553"
PBR(배),0.62,0.51,0.40,0.79,1.72
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"14,672,884","14,672,884","14,672,884","14,672,884","14,672,884"
