주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,353,386,317,498,491
영업이익,71,35,36,26,5
영업이익(발표기준),71,35,36,26,5
세전계속사업이익,50,39,-52,-321,-421
당기순이익,35,31,-49,-340,-373
  당기순이익(지배),35,31,-49,-339,-267
  당기순이익(비지배),,,,-1,-106
자산총계,435,460,991,"1,181","2,345"
부채총계,73,62,587,442,"1,023"
자본총계,361,398,403,739,"1,322"
  자본총계(지배),361,398,403,736,"1,000"
  자본총계(비지배),,,,2,322
자본금,25,27,29,53,74
영업활동현금흐름,82,25,26,-15,10
투자활동현금흐름,-101,14,-534,-334,"-1,627"
재무활동현금흐름,5,-14,529,353,"1,913"
CAPEX,3,10,3,22,758
FCF,78,16,23,-37,-748
이자발생부채,16,0,362,260,559
영업이익률,19.98,8.95,11.42,5.25,1.04
순이익률,9.83,7.97,-15.37,-68.30,-75.81
ROE(%),12.33,,-12.17,-59.52,-30.71
ROA(%),9.88,,-6.72,-31.31,-21.14
부채비율,20.30,15.64,145.59,59.84,77.43
자본유보율,"1,390.42","1,435.57","1,328.02","1,308.45","1,240.02"
EPS(원),138,117,-176,-857,-459
PER(배),13.44,25.05,N/A,N/A,N/A
BPS(원),"1,463","1,507","1,404","1,419","1,363"
PBR(배),1.26,1.95,2.65,1.84,0.98
현금DPS(원),80,60,0,0,0
현금배당수익률,4.32,2.04,0.00,0.00,0.00
현금배당성향(%),41.15,51.45,0.00,0.00,
발행주식수(보통주),"25,322,574","27,022,574","29,352,025","52,516,983","73,996,926"
