주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,52,47,50,159,121
영업이익,-18,-28,-24,21,-12
영업이익(발표기준),-18,-28,-24,21,-12
세전계속사업이익,-17,-33,-12,78,-7
당기순이익,-17,-33,-12,80,-10
  당기순이익(지배),-15,-31,-14,80,-10
  당기순이익(비지배),-3,-2,2,,
자산총계,177,315,285,382,395
부채총계,58,201,132,48,72
자본총계,119,114,152,334,323
  자본총계(지배),111,108,152,334,323
  자본총계(비지배),9,,,,
자본금,51,80,92,102,102
영업활동현금흐름,-18,-27,-23,45,34
투자활동현금흐름,17,-95,47,13,-8
재무활동현금흐름,1,164,-18,-19,-1
CAPEX,2,3,2,4,3
FCF,-20,-31,-24,42,31
이자발생부채,41,172,109,37,37
영업이익률,-33.96,-59.27,-46.62,13.40,-10.12
순이익률,-33.43,-69.42,-23.23,50.50,-8.16
ROE(%),-12.49,-28.38,-8.91,33.02,-3.01
ROA(%),-9.36,-13.34,-3.98,24.10,-2.54
부채비율,48.54,176.55,86.60,14.30,22.31
자본유보율,110.23,28.97,65.40,229.72,219.21
EPS(원),-96,-202,-66,413,-48
PER(배),N/A,N/A,N/A,62.91,N/A
BPS(원),722,676,846,"1,673","1,619"
PBR(배),3.29,6.26,2.51,15.51,6.04
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"15,322,910","16,034,472","18,460,765","20,393,640","20,393,640"
