주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,224,236,285,814,631
영업이익,-37,-108,-171,255,-40
영업이익(발표기준),-37,-108,-171,255,-40
세전계속사업이익,-64,-103,-167,256,-38
당기순이익,-31,-126,-171,261,-80
  당기순이익(지배),-31,-126,-171,261,-80
  당기순이익(비지배),,,,,
자산총계,430,294,729,944,"1,268"
부채총계,135,107,348,280,652
자본총계,295,187,382,664,616
  자본총계(지배),295,187,382,664,616
  자본총계(비지배),,,,,
자본금,115,120,144,144,144
영업활동현금흐름,90,-104,-114,227,288
투자활동현금흐름,111,-98,-258,-113,126
재무활동현금흐름,9,4,336,-13,-15
CAPEX,8,10,4,4,9
FCF,82,-114,-119,222,279
이자발생부채,9,0,135,121,137
영업이익률,-16.65,-45.67,-60.04,31.34,-6.30
순이익률,-13.72,-53.32,-59.91,32.06,-12.62
ROE(%),-13.77,-52.20,-60.09,49.93,-12.44
ROA(%),-9.77,-34.74,-33.36,31.19,-7.20
부채비율,45.69,57.57,91.20,42.22,105.75
자본유보율,139.53,51.87,159.93,356.41,320.79
EPS(원),-140,-530,-698,905,-276
PER(배),N/A,N/A,N/A,10.80,N/A
BPS(원),"1,304",791,"1,341","2,328","2,154"
PBR(배),9.14,9.23,5.61,4.20,10.89
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,021,141","24,003,428","28,838,832","28,838,832","28,852,967"
