주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,135,144,57,251,113
영업이익,-43,-54,-105,-15,19
영업이익(발표기준),-43,-54,-105,-15,19
세전계속사업이익,-44,-78,-123,-8,22
당기순이익,-48,-78,-123,-8,22
  당기순이익(지배),-47,-74,-120,-8,22
  당기순이익(비지배),-1,-4,-3,,
자산총계,627,545,269,258,251
부채총계,231,228,69,65,34
자본총계,395,316,200,193,217
  자본총계(지배),394,319,200,193,217
  자본총계(비지배),1,,,,
자본금,86,86,86,86,86
영업활동현금흐름,-52,-35,-79,-3,-5
투자활동현금흐름,-94,-36,175,-31,55
재무활동현금흐름,398,-20,-168,-16,-1
CAPEX,2,1,1,0,2
FCF,-53,-37,-80,-4,-6
이자발생부채,213,197,30,12,14
영업이익률,-31.91,-37.68,-183.32,-5.83,17.09
순이익률,-35.35,-54.35,-214.86,-3.31,19.91
ROE(%),,-20.71,-45.63,-4.23,
ROA(%),,-13.33,-29.60,-3.15,
부채비율,58.53,72.23,34.66,33.72,15.82
자본유보율,360.87,276.54,137.36,128.88,155.78
EPS(원),-323,-431,-720,-49,131
PER(배),N/A,N/A,N/A,N/A,6.33
BPS(원),"2,343","1,897","1,189","1,146","1,288"
PBR(배),1.85,1.25,0.63,0.72,0.64
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"17,117,100","17,117,100","17,117,100","17,117,100","17,117,100"
