주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,858,"1,027","1,142","1,134","1,163"
영업이익,71,78,90,77,96
영업이익(발표기준),71,78,90,77,96
세전계속사업이익,77,75,28,76,99
당기순이익,67,63,23,73,53
  당기순이익(지배),71,64,22,71,50
  당기순이익(비지배),-4,-2,2,2,3
자산총계,"1,271","1,246","1,483","1,680","1,934"
부채총계,371,311,516,632,884
자본총계,899,935,966,"1,047","1,049"
  자본총계(지배),883,918,944,"1,022","1,050"
  자본총계(비지배),17,,22,25,-1
자본금,71,71,71,71,71
영업활동현금흐름,2,74,264,316,150
투자활동현금흐름,-126,28,-290,-256,-240
재무활동현금흐름,40,-53,-24,-20,151
CAPEX,12,15,8,5,10
FCF,-10,59,255,311,140
이자발생부채,40,0,31,35,182
영업이익률,8.30,7.61,7.92,6.77,8.26
순이익률,7.79,6.13,2.04,6.42,4.57
ROE(%),8.34,7.16,2.32,7.19,4.86
ROA(%),5.53,5.00,1.71,4.61,2.94
부채비율,41.29,33.22,53.41,60.39,84.25
자본유보율,"1,141.01","1,190.03","1,207.74","1,304.54","1,356.49"
EPS(원),99,91,30,99,71
PER(배),17.89,90.56,172.41,58.18,80.28
BPS(원),"1,240","1,291","1,327","1,437","1,476"
PBR(배),1.43,6.36,3.95,4.02,3.85
현금DPS(원),20,20,20,20,
현금배당수익률,1.13,0.24,0.38,0.35,
현금배당성향(%),20.16,22.06,65.81,20.13,
발행주식수(보통주),"71,151,522","71,151,522","71,151,522","71,151,522","71,151,522"
