주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"2,958","3,054","3,152","3,548","4,163","4,580"
영업이익,64,121,103,181,235,321
영업이익(발표기준),64,121,103,181,235,
세전계속사업이익,-5,111,78,158,255,331
당기순이익,-41,80,68,141,229,277
  당기순이익(지배),-32,78,74,134,229,277
  당기순이익(비지배),-9,3,-6,6,,
자산총계,"2,467","2,752","2,757","2,884","3,651",
부채총계,"1,500","1,499","1,445","1,436","1,720",
자본총계,967,"1,254","1,312","1,448","1,931",
  자본총계(지배),984,"1,258","1,323","1,448","1,931",
  자본총계(비지배),-18,,-11,,,
자본금,104,104,104,104,111,
영업활동현금흐름,-159,92,82,148,-156,
투자활동현금흐름,-110,-57,-46,-98,-65,
재무활동현금흐름,129,-38,-37,-76,274,
CAPEX,140,62,46,52,51,
FCF,-299,30,36,96,-207,
이자발생부채,942,835,836,769,994,
영업이익률,2.15,3.96,3.27,5.10,5.65,7.01
순이익률,-1.40,2.63,2.16,3.97,5.50,6.05
ROE(%),-3.22,6.93,5.76,9.71,13.57,
ROA(%),-1.67,3.08,2.47,4.99,7.01,
부채비율,155.17,119.55,110.12,99.18,89.08,
자본유보율,946.95,"1,019.48","1,072.92","1,201.26","1,409.91",
EPS(원),-155,372,356,644,"1,053","1,249"
PER(배),N/A,17.46,19.89,12.90,11.26,12.57
BPS(원),"5,107","6,265","6,589","7,212","8,886",
PBR(배),1.35,1.04,1.07,1.15,1.33,
현금DPS(원),50,100,100,150,250,
현금배당수익률,0.72,1.54,1.41,1.81,2.11,
현금배당성향(%),-29.73,25.84,27.02,22.39,23.70,
발행주식수(보통주),"20,876,975","20,876,975","20,876,975","20,876,975","22,177,360",
