주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,54,36,41,42,81
영업이익,-1,-24,-29,-37,-26
영업이익(발표기준),-1,-24,-29,-37,-26
세전계속사업이익,4,-9,-40,-44,-6
당기순이익,4,-10,-40,-44,-6
  당기순이익(지배),4,-10,-40,-44,-6
  당기순이익(비지배),,,,,
자산총계,581,"1,014",846,942,"1,367"
부채총계,115,454,162,131,198
자본총계,466,561,684,811,"1,169"
  자본총계(지배),466,561,684,811,"1,169"
  자본총계(비지배),,,,,
자본금,40,42,45,45,47
영업활동현금흐름,4,-15,-16,-44,-30
투자활동현금흐름,-152,-377,272,-10,-144
재무활동현금흐름,200,441,-4,35,159
CAPEX,6,36,30,57,33
FCF,-3,-51,-46,-101,-64
이자발생부채,93,398,133,93,118
영업이익률,-1.79,-67.73,-70.11,-89.46,-32.31
순이익률,8.34,-26.66,-97.64,-105.39,-6.82
ROE(%),1.11,-1.87,-6.51,-5.85,-0.56
ROA(%),0.96,-1.21,-4.35,-4.89,-0.48
부채비율,24.74,80.91,23.69,16.20,16.97
자본유보율,967.28,"1,149.88","1,617.89","1,745.41","1,935.67"
EPS(원),57,-119,-457,-484,-59
PER(배),802.93,N/A,N/A,N/A,N/A
BPS(원),"5,860","6,539","7,607","8,915","12,404"
PBR(배),7.85,10.81,5.64,6.99,5.18
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,953,631","8,439,751","8,650,277","9,093,534","9,421,845"
