주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"6,552","10,462","10,883","20,055","15,445"
영업이익,511,473,705,"1,535","2,258"
영업이익(발표기준),511,473,705,"1,535","2,258"
세전계속사업이익,512,473,709,"1,659","2,201"
당기순이익,388,340,515,"1,260","1,608"
  당기순이익(지배),388,340,515,"1,260","1,608"
  당기순이익(비지배),,,,,
자산총계,"31,234","31,759","45,480","77,744","69,319"
부채총계,"27,337","27,721","40,340","70,338","60,036"
자본총계,"3,897","4,037","5,140","7,407","9,284"
  자본총계(지배),"3,897","4,037","5,140","7,407","9,284"
  자본총계(비지배),,,,,
자본금,"2,024","2,024","2,774","3,351","3,640"
영업활동현금흐름,"-1,048","1,811","-5,357",-658,"-1,712"
투자활동현금흐름,-64,-135,-101,-197,-254
재무활동현금흐름,"1,086","-1,664","5,571","1,477","1,506"
CAPEX,8,24,7,23,162
FCF,,,,,
이자발생부채,"5,232","5,249","7,118","9,332","12,321"
영업이익률,7.80,4.52,6.47,7.66,14.62
순이익률,5.93,3.25,4.74,6.28,10.41
ROE(%),10.19,,11.23,20.09,19.27
ROA(%),1.34,,1.33,2.04,2.19
부채비율,701.47,686.63,784.82,949.64,646.67
자본유보율,114.65,122.47,102.07,134.91,167.86
EPS(원),960,841,"1,019","1,920","2,232"
PER(배),11.26,10.53,5.50,3.54,3.67
BPS(원),"10,955","11,403","10,197","11,957","13,709"
PBR(배),0.99,0.78,0.55,0.57,0.60
현금DPS(원),485,485,345,550,600
현금배당수익률,4.49,5.47,6.16,8.10,7.33
현금배당성향(%),44.42,50.43,33.74,25.50,23.30
발행주식수(보통주),"40,481,190","40,481,190","55,481,190","55,481,190","55,481,190"
