주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,287,283,288,448,470,601,733,922
영업이익,7,-4,9,65,67,100,142,212
영업이익(발표기준),7,-4,9,65,67,,,
세전계속사업이익,6,-7,6,42,66,99,140,210
당기순이익,9,-6,10,38,54,80,118,170
  당기순이익(지배),9,-6,10,36,54,83,116,169
  당기순이익(비지배),,,,2,0,,,
자산총계,304,312,304,371,558,684,806,"1,000"
부채총계,163,176,213,229,140,195,198,230
자본총계,141,136,91,141,417,490,608,770
  자본총계(지배),141,136,91,140,416,498,615,
  자본총계(비지배),,,,2,1,,,
자본금,31,31,31,27,27,38,38,50
영업활동현금흐름,15,66,42,58,47,114,112,180
투자활동현금흐름,-52,-67,0,-6,-33,-247,-30,-30
재무활동현금흐름,37,7,-39,-22,141,46,0,0
CAPEX,5,4,2,11,12,240,10,10
FCF,10,62,40,47,34,-132,88,150
이자발생부채,87,94,111,94,4,,,
영업이익률,2.61,-1.48,2.96,14.40,14.32,16.72,19.30,22.99
순이익률,3.25,-2.21,3.36,8.38,11.41,13.39,16.10,18.44
ROE(%),7.29,-4.52,8.53,,19.49,18.16,20.93,
ROA(%),3.38,-2.03,3.14,,11.56,12.96,15.84,18.83
부채비율,115.94,130.02,234.07,162.18,33.63,39.84,32.59,29.87
자본유보율,376.67,369.67,277.01,504.84,"1,307.92",,,
EPS(원),86,-57,92,345,502,747,"1,039","1,507"
PER(배),15.75,N/A,16.26,17.10,40.57,21.96,15.78,10.88
BPS(원),"1,308","1,273",984,"1,434","3,833","4,442","5,485",
PBR(배),1.03,0.84,1.52,4.12,5.31,3.69,2.99,
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,,,0.00,,,,
발행주식수(보통주),"9,630,000","9,630,000","9,630,000","10,750,508","10,852,120",,,
