주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,737,613,552,522,299
영업이익,95,-52,10,-41,-51
영업이익(발표기준),95,-52,10,-41,-51
세전계속사업이익,106,-54,7,20,-41
당기순이익,82,-43,5,12,-32
  당기순이익(지배),82,-43,5,12,-32
  당기순이익(비지배),,,,,
자산총계,"1,428","1,307","1,209","1,168","1,104"
부채총계,341,275,185,140,107
자본총계,"1,087","1,032","1,025","1,028",997
  자본총계(지배),"1,087","1,032","1,025","1,028",997
  자본총계(비지배),,,,,
자본금,219,219,219,219,219
영업활동현금흐름,294,-10,180,-16,103
투자활동현금흐름,-57,-22,-14,205,265
재무활동현금흐름,-171,-23,-127,-43,-8
CAPEX,54,30,4,43,20
FCF,240,-40,176,-59,83
이자발생부채,161,153,39,3,2
영업이익률,12.84,-8.53,1.79,-7.93,-17.18
순이익률,11.18,-7.00,0.88,2.29,-10.65
ROE(%),7.84,-4.04,0.47,1.17,-3.15
ROA(%),5.50,-3.13,0.39,1.01,-2.80
부채비율,31.32,26.68,18.00,13.65,10.77
자본유보율,404.84,379.47,376.32,377.62,363.34
EPS(원),376,-196,22,55,-145
PER(배),11.68,N/A,213.13,97.15,N/A
BPS(원),"5,290","5,020","4,987","5,000","4,848"
PBR(배),0.83,0.64,0.95,1.06,1.11
현금DPS(원),50,30,30,30,30
현금배당수익률,1.14,0.94,0.63,0.56,0.56
현금배당성향(%),12.47,-14.39,126.87,51.51,-19.37
발행주식수(보통주),"21,900,000","21,900,000","21,900,000","21,900,000","21,900,000"
