주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,284,340,407,537,707,870,"1,069"
영업이익,,48,33,65,84,139,174,217
영업이익(발표기준),,48,33,65,84,,,
세전계속사업이익,,46,28,53,84,127,157,196
당기순이익,,37,22,43,70,102,126,160
  당기순이익(지배),,37,22,45,70,103,127,161
  당기순이익(비지배),,,,-3,0,,,
자산총계,,247,284,355,591,700,838,"1,016"
부채총계,,70,187,178,265,271,283,299
자본총계,,177,97,177,326,429,555,717
  자본총계(지배),,177,97,177,326,429,555,717
  자본총계(비지배),,,,0,0,,,
자본금,,14,12,25,30,30,30,30
영업활동현금흐름,,34,18,89,27,141,146,183
투자활동현금흐름,,-94,-5,-58,-191,-88,-105,-126
재무활동현금흐름,,88,-15,15,135,0,0,0
CAPEX,,1,7,33,231,76,94,115
FCF,,33,11,56,-205,53,40,57
이자발생부채,,43,92,78,184,,,
영업이익률,,17.06,9.59,15.90,15.69,19.66,20.00,20.30
순이익률,,13.05,6.33,10.49,13.13,14.43,14.48,14.97
ROE(%),,,,33.18,27.88,27.29,25.81,25.31
ROA(%),,,,13.38,14.89,15.80,16.38,17.26
부채비율,,39.62,193.14,100.63,81.47,63.17,50.99,41.70
자본유보율,,"1,129.75",621.49,537.46,941.04,,,
EPS(원),,776,374,789,"1,177","1,449","1,737","2,202"
PER(배),,,,,,8.97,7.48,5.90
BPS(원),,"3,074","1,684","2,973","5,468","5,868","7,592","9,808"
PBR(배),,0.00,0.00,0.00,0.00,2.22,1.71,1.33
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"3,730,060","4,632,800","4,632,800","5,082,800","5,957,800",,,
