주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,440,379,"1,128",196,441
영업이익,-10,-35,257,-189,-45
영업이익(발표기준),-10,-35,257,-189,-45
세전계속사업이익,-46,-291,20,-173,-91
당기순이익,-30,-395,34,-196,-85
  당기순이익(지배),-31,-394,36,-195,-90
  당기순이익(비지배),0,-1,-2,-1,5
자산총계,755,894,794,669,732
부채총계,344,535,417,155,197
자본총계,410,359,377,514,535
  자본총계(지배),410,360,379,518,535
  자본총계(비지배),1,0,-3,-4,
자본금,37,71,72,116,130
영업활동현금흐름,-77,45,219,-140,-38
투자활동현금흐름,-118,-397,92,41,-61
재무활동현금흐름,187,358,-20,-5,150
CAPEX,17,33,44,32,19
FCF,-94,12,175,-172,-57
이자발생부채,274,410,344,55,123
영업이익률,-2.30,-9.17,22.80,-96.20,-10.24
순이익률,-6.92,-104.23,3.00,-99.73,-19.22
ROE(%),-7.42,-102.48,9.78,-43.40,-17.06
ROA(%),-4.46,-47.97,4.00,-26.78,-12.11
부채비율,83.86,148.75,110.78,30.09,36.93
자본유보율,"1,075.57",484.54,528.97,383.31,339.17
EPS(원),-418,"-3,253",255,"-1,066",-359
PER(배),N/A,N/A,21.24,N/A,N/A
BPS(원),"6,007","2,728","2,870","2,347","2,142"
PBR(배),0.90,3.26,1.89,2.31,2.16
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,447,281","14,158,399","14,321,820","23,174,379","26,061,956"
