주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,,1,5
영업이익,,,,-42,-61
영업이익(발표기준),,,,-42,-61
세전계속사업이익,,,,-62,-184
당기순이익,,,,-62,-184
  당기순이익(지배),,,,-62,-184
  당기순이익(비지배),,,,,
자산총계,,,,257,653
부채총계,,,,242,257
자본총계,,,,16,396
  자본총계(지배),,,,16,396
  자본총계(비지배),,,,,
자본금,,,,112,132
영업활동현금흐름,,,,-40,-47
투자활동현금흐름,,,,-69,-475
재무활동현금흐름,,,,200,443
CAPEX,,,,1,7
FCF,,,,-40,-54
이자발생부채,,,,188,208
영업이익률,,,,"-5,442.98","-1,216.93"
순이익률,,,,"-8,021.41","-3,684.01"
ROE(%),,,,,-89.44
ROA(%),,,,,-40.46
부채비율,,,,"1,536.83",64.87
자본유보율,,,,-88.72,194.14
EPS(원),,,,-279,-792
PER(배),,,,,N/A
BPS(원),,,,70,"1,499"
PBR(배),,,,0.00,7.41
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),,,,0.00,
발행주식수(보통주),"17,677,566","17,677,566","17,787,566","22,388,253","26,429,162"
