주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,502,406,367,510,605
영업이익,63,-31,-28,49,102
영업이익(발표기준),63,-31,-28,49,102
세전계속사업이익,66,-28,-32,47,95
당기순이익,55,-19,-46,64,79
  당기순이익(지배),55,-19,-46,64,79
  당기순이익(비지배),,,,,
자산총계,561,617,582,661,701
부채총계,81,157,171,183,144
자본총계,480,460,411,478,557
  자본총계(지배),480,460,411,478,557
  자본총계(비지배),,,,,
자본금,54,54,54,54,54
영업활동현금흐름,9,63,27,100,101
투자활동현금흐름,-107,-154,-51,-17,-141
재무활동현금흐름,-6,41,3,-4,-20
CAPEX,105,154,49,17,71
FCF,-96,-90,-22,83,30
이자발생부채,21,62,71,69,54
영업이익률,12.56,-7.56,-7.54,9.68,16.93
순이익률,10.98,-4.60,-12.65,12.62,12.99
ROE(%),12.21,-3.97,-10.64,14.48,15.19
ROA(%),9.89,-3.17,-7.73,10.35,11.53
부채비율,16.80,34.04,41.60,38.39,25.90
자본유보율,787.97,751.19,660.28,783.42,929.53
EPS(원),514,-172,-429,595,726
PER(배),17.99,N/A,N/A,11.11,12.28
BPS(원),"4,440","4,256","3,801","4,417","5,148"
PBR(배),2.08,0.98,1.35,1.50,1.73
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"10,819,866","10,819,866","10,819,866","10,819,866","10,819,866"
