주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,342,420,546,689,810
영업이익,-12,36,12,114,134
영업이익(발표기준),-12,36,12,114,134
세전계속사업이익,-95,-18,45,-186,119
당기순이익,-122,-22,42,-195,97
  당기순이익(지배),-93,-14,33,-214,57
  당기순이익(비지배),-29,-8,9,19,39
자산총계,"1,061","1,220","1,473","1,583","2,027"
부채총계,776,514,546,579,644
자본총계,284,706,927,"1,004","1,383"
  자본총계(지배),309,538,751,792,"1,139"
  자본총계(비지배),-25,,176,212,243
자본금,276,287,326,367,398
영업활동현금흐름,-49,28,53,102,204
투자활동현금흐름,-501,-91,-151,-45,-386
재무활동현금흐름,572,117,78,21,183
CAPEX,57,64,70,41,20
FCF,-106,-35,-16,61,184
이자발생부채,478,300,344,235,296
영업이익률,-3.45,8.47,2.17,16.55,16.57
순이익률,-35.74,-5.18,7.73,-28.26,11.94
ROE(%),-41.83,-3.20,5.20,-27.76,5.92
ROA(%),-14.75,-1.91,3.14,-12.75,5.36
부채비율,273.28,72.83,58.94,57.64,46.59
자본유보율,24.01,110.36,141.41,135.35,201.22
EPS(원),-202,-24,54,-317,75
PER(배),N/A,N/A,39.89,N/A,57.58
BPS(원),560,937,"1,153","1,080","1,433"
PBR(배),3.59,2.19,1.87,3.40,3.01
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"55,247,373","57,426,004","65,107,487","73,309,824","79,534,654"
