주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,700,851,732,643,744
영업이익,-63,-61,-37,-70,-50
영업이익(발표기준),-63,-61,-37,-70,-50
세전계속사업이익,-115,-58,-121,-23,-164
당기순이익,-103,-61,-117,-39,-139
  당기순이익(지배),-100,-55,-117,-39,-138
  당기순이익(비지배),-4,-6,0,0,0
자산총계,632,"1,021","1,346","1,430","1,484"
부채총계,194,550,731,654,663
자본총계,438,471,615,776,821
  자본총계(지배),441,480,624,776,820
  자본총계(비지배),-3,,-9,0,1
자본금,65,66,82,104,111
영업활동현금흐름,-94,-81,-50,29,-23
투자활동현금흐름,62,-485,-306,-85,116
재무활동현금흐름,-38,568,313,86,-101
CAPEX,2,32,188,127,50
FCF,-96,-113,-238,-98,-73
이자발생부채,5,394,532,447,309
영업이익률,-9.02,-7.20,-5.04,-10.81,-6.72
순이익률,-14.76,-7.23,-16.00,-6.12,-18.61
ROE(%),-22.01,-12.04,-21.13,-5.62,-17.35
ROA(%),-15.08,-7.44,-9.89,-2.83,-9.51
부채비율,44.19,116.81,118.89,84.21,80.69
자본유보율,545.54,601.19,567.42,579.90,490.03
EPS(원),-824,-422,-822,-213,-639
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"3,534","3,829","3,964","3,844","3,784"
PBR(배),3.33,3.00,1.72,1.19,0.80
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"13,089,256","13,144,440","16,362,358","20,813,590","22,287,952"
