주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,004",907,979,"1,442","1,914","2,072","2,492","2,921"
영업이익,184,203,208,401,510,592,704,820
영업이익(발표기준),184,203,208,401,510,,,
세전계속사업이익,184,211,208,378,563,612,724,835
당기순이익,168,188,192,333,468,513,603,691
  당기순이익(지배),168,188,192,333,468,512,603,691
  당기순이익(비지배),,,,,0,,,
자산총계,"1,492","1,603","1,813","2,209","3,367","3,953","4,602","5,383"
부채총계,268,194,214,282,496,520,570,654
자본총계,"1,225","1,409","1,599","1,928","2,871","3,433","4,033","4,729"
  자본총계(지배),"1,225","1,409","1,599","1,928","2,870","3,433","4,033","4,729"
  자본총계(비지배),,,,,1,,,
자본금,48,48,48,48,50,50,50,50
영업활동현금흐름,197,82,222,425,445,582,627,724
투자활동현금흐름,-8,-177,-208,-277,-265,-169,-176,-193
재무활동현금흐름,0,,-2,-2,648,50,0,0
CAPEX,104,64,128,231,110,151,139,150
FCF,93,17,93,194,335,442,489,577
이자발생부채,10,10,13,12,187,,,
영업이익률,18.32,22.41,21.21,27.82,26.64,28.59,28.24,28.07
순이익률,16.70,20.74,19.57,23.13,24.47,24.75,24.20,23.66
ROE(%),14.52,14.28,12.73,18.91,,16.25,16.15,15.77
ROA(%),12.54,12.15,11.21,16.58,,14.01,14.10,13.84
부채비율,21.85,13.75,13.36,14.61,17.26,15.16,14.12,13.83
자본유보율,"2,444.16","2,828.66","3,233.70","3,917.02","5,682.01",,,
EPS(원),699,784,798,"1,389","1,945","2,062","2,428","2,783"
PER(배),35.22,18.12,32.96,25.09,28.94,21.07,17.89,15.61
BPS(원),"5,102","5,872","6,663","8,030","11,561","13,845","16,265","19,075"
PBR(배),4.82,2.42,3.95,4.34,4.87,3.14,2.67,2.28
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"24,010,012","24,010,012","24,010,012","24,010,012","24,831,179",,,
