주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,659,659,750,908,787,920,"1,012"
영업이익,75,91,101,103,85,102,121
영업이익(발표기준),75,91,101,103,85,,
세전계속사업이익,117,141,159,173,156,173,196
당기순이익,92,113,126,133,118,135,153
  당기순이익(지배),92,113,126,133,118,135,153
  당기순이익(비지배),,,,,,,
자산총계,"3,707","3,362","3,350","3,267","3,783","3,435","3,569"
부채총계,590,514,506,453,585,478,522
자본총계,"3,117","2,847","2,844","2,814","3,198","2,957","3,047"
  자본총계(지배),"3,117","2,847","2,844","2,814","3,198","2,957","3,047"
  자본총계(비지배),,,,,,,
자본금,79,79,79,79,79,79,79
영업활동현금흐름,113,106,175,80,187,158,176
투자활동현금흐름,-91,-42,-108,28,-249,-41,-109
재무활동현금흐름,-28,-32,-43,-51,-59,-55,-63
CAPEX,13,9,10,15,15,18,20
FCF,101,97,165,64,172,130,81
이자발생부채,0,0,7,7,7,,
영업이익률,11.34,13.82,13.48,11.38,10.84,11.09,11.96
순이익률,13.90,17.18,16.77,14.68,14.93,14.67,15.12
ROE(%),2.99,3.80,4.42,4.71,3.91,4.39,5.10
ROA(%),2.50,3.20,3.75,4.03,3.33,3.74,4.37
부채비율,18.93,18.06,17.80,16.11,18.28,16.17,17.13
자본유보율,"1,693.59","1,793.57","1,891.21","2,007.71","2,081.97",,
EPS(원),581,719,799,847,746,857,971
PER(배),15.04,10.86,10.64,9.56,12.14,11.32,9.99
BPS(원),"19,788","18,079","18,057","17,868","20,308","18,775","19,346"
PBR(배),0.44,0.43,0.47,0.45,0.45,0.52,0.50
현금DPS(원),200,250,300,350,350,400,450
현금배당수익률,2.29,3.20,3.53,4.33,3.86,4.12,4.64
현금배당성향(%),34.41,34.77,37.56,41.34,46.89,46.67,46.32
발행주식수(보통주),"15,750,000","15,750,000","15,750,000","15,750,000","15,750,000",,
