주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,411,610,593,930,"1,781","2,097","3,311"
영업이익,127,211,161,296,540,606,907
영업이익(발표기준),127,211,161,296,540,,
세전계속사업이익,128,221,178,293,589,635,936
당기순이익,108,175,142,234,465,508,749
  당기순이익(지배),108,175,142,234,465,508,749
  당기순이익(비지배),,,,,,,
자산총계,296,647,655,"1,184","1,456","1,772","2,316"
부채총계,57,112,60,288,315,339,414
자본총계,239,534,595,897,"1,141","1,433","1,902"
  자본총계(지배),239,534,595,897,"1,141","1,433","1,902"
  자본총계(비지배),,,,,,,
자본금,21,23,23,24,24,24,24
영업활동현금흐름,62,220,118,130,541,424,702
투자활동현금흐름,-29,-214,233,-39,-45,-20,-20
재무활동현금흐름,-7,110,-94,91,-248,-199,-263
CAPEX,1,7,5,15,24,20,20
FCF,61,213,113,115,516,404,682
이자발생부채,0,0,0,4,19,,
영업이익률,30.86,34.52,27.18,31.84,30.34,28.90,27.39
순이익률,26.38,28.63,23.86,25.12,26.09,24.22,22.62
ROE(%),60.77,45.18,,31.34,45.60,39.47,44.92
ROA(%),42.88,37.07,,25.41,35.19,31.47,36.64
부채비율,23.68,21.06,10.13,32.09,27.63,23.66,21.77
자본유보율,"1,021.63","2,375.64","2,794.99","4,096.65","5,448.49",,
EPS(원),521,791,609,"1,003","1,968","2,143","3,160"
PER(배),,7.20,12.37,19.84,11.26,9.42,6.39
BPS(원),"1,119","2,420","2,797","4,113","5,297","6,631","8,801"
PBR(배),0.00,2.35,2.70,4.84,4.18,3.05,2.30
현금DPS(원),0,200,0,500,"1,200","1,000","1,500"
현금배당수익률,,3.51,0.00,2.51,5.42,4.95,7.43
현금배당성향(%),0.00,25.26,0.00,46.63,55.64,46.66,47.46
발행주식수(보통주),"21,394,595","23,234,595","23,234,595","23,564,595","23,700,595",,
