주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,798,709,618,784,"1,124","1,275","1,604","2,020"
영업이익,266,246,134,140,220,249,344,420
영업이익(발표기준),266,246,134,140,220,,,
세전계속사업이익,244,237,134,142,191,252,359,430
당기순이익,214,188,111,126,174,216,307,360
  당기순이익(지배),214,188,111,127,178,219,308,365
  당기순이익(비지배),,,,-1,-4,,,
자산총계,760,853,"1,589","1,705","2,443","2,929","3,350","4,010"
부채총계,332,240,137,124,713,594,708,"1,230"
자본총계,428,614,"1,452","1,580","1,730","2,334","2,642","2,780"
  자본총계(지배),428,614,"1,452","1,572","1,723","2,331","2,642","2,785"
  자본총계(비지배),,,,8,7,,,
자본금,76,76,92,92,92,98,98,95
영업활동현금흐름,227,241,130,164,211,362,509,860
투자활동현금흐름,-52,-178,-773,-178,-296,-473,-320,-340
재무활동현금흐름,-96,-109,684,-22,455,376,0,0
CAPEX,64,169,259,165,366,420,251,335
FCF,163,72,-128,-1,-154,-46,164,
이자발생부채,221,112,34,27,424,,,
영업이익률,33.31,34.64,21.72,17.92,19.56,19.53,21.45,20.79
순이익률,26.82,26.48,18.00,16.12,15.46,16.94,19.14,17.82
ROE(%),67.38,36.08,10.78,,10.82,10.79,12.41,13.45
ROA(%),32.08,23.28,9.12,,8.38,8.04,9.78,9.78
부채비율,77.62,39.12,9.41,7.87,41.24,25.47,26.79,44.24
자본유보율,474.85,720.44,"1,480.66","1,622.47","1,816.97",,,
EPS(원),"1,416","1,242",673,694,970,"1,190","1,679","1,986"
PER(배),,,28.46,25.66,31.80,18.11,12.84,10.85
BPS(원),"2,830","4,058","7,900","8,589","9,481","12,849","14,564","15,352"
PBR(배),0.00,0.00,2.42,2.07,3.25,1.68,1.48,1.40
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"15,120,000","15,120,000","18,377,428","18,377,428","18,377,428",,,
