주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,213,606,674,490,615
영업이익,22,72,104,11,-48
영업이익(발표기준),22,72,104,11,-48
세전계속사업이익,5,60,99,10,-35
당기순이익,5,71,76,9,-13
  당기순이익(지배),5,71,76,9,-12
  당기순이익(비지배),,,,0,0
자산총계,132,362,497,741,"1,001"
부채총계,89,285,285,156,408
자본총계,43,78,212,586,593
  자본총계(지배),43,78,212,584,592
  자본총계(비지배),,,,2,2
자본금,15,16,25,34,35
영업활동현금흐름,20,33,91,-48,0
투자활동현금흐름,-13,-2,-35,-211,-50
재무활동현금흐름,-1,56,-10,276,-8
CAPEX,0,6,29,52,74
FCF,20,27,61,-100,-74
이자발생부채,41,61,55,6,4
영업이익률,10.11,11.87,15.41,2.23,-7.85
순이익률,2.47,11.71,11.25,1.91,-2.09
ROE(%),15.92,118.30,52.43,,-2.12
ROA(%),4.88,28.76,17.64,,-1.47
부채비율,208.93,367.52,134.77,26.63,68.72
자본유보율,93.29,308.09,495.56,"1,430.50","1,434.83"
EPS(원),69,852,730,79,-90
PER(배),,,,235.77,N/A
BPS(원),559,747,"2,032","4,244","4,194"
PBR(배),0.00,0.00,0.00,4.39,4.15
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"6,299,998","9,799,998","9,873,998","13,761,252","14,131,884"
