주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,183,111,131,89,114
영업이익,-28,-26,10,1,7
영업이익(발표기준),-28,-26,10,1,7
세전계속사업이익,-38,-32,6,-11,28
당기순이익,-41,-36,5,-11,28
  당기순이익(지배),-41,-36,5,-11,28
  당기순이익(비지배),,,,,
자산총계,111,150,334,312,722
부채총계,70,65,122,66,250
자본총계,41,85,212,246,472
  자본총계(지배),41,85,212,246,472
  자본총계(비지배),,,,,
자본금,33,40,54,63,91
영업활동현금흐름,-37,-22,16,-5,9
투자활동현금흐름,3,14,-214,63,-174
재무활동현금흐름,15,64,174,-5,364
CAPEX,1,0,1,1,2
FCF,-38,-22,16,-6,6
이자발생부채,43,31,89,50,227
영업이익률,-15.30,-23.05,7.92,1.60,6.50
순이익률,-22.63,-32.47,4.08,-12.88,24.57
ROE(%),-68.40,-57.58,3.62,-4.99,7.78
ROA(%),-32.03,-27.78,2.22,-3.54,5.40
부채비율,171.62,76.40,57.72,26.68,53.00
자본유보율,16.98,102.07,284.82,284.67,412.62
EPS(원),-636,-514,53,-101,196
PER(배),N/A,N/A,67.76,N/A,23.18
BPS(원),623,"1,067","1,961","1,956","2,584"
PBR(배),7.73,4.01,1.85,1.74,1.76
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,532,676","7,945,470","10,798,536","12,600,336","18,248,289"
