주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,879,740,842,724,742,961,"1,278"
영업이익,15,-60,-49,-73,-42,38,73
영업이익(발표기준),15,-60,-49,-73,-42,,
세전계속사업이익,5,-90,-71,-91,-68,89,70
당기순이익,-65,-14,-76,-79,-94,65,51
  당기순이익(지배),-70,-13,-70,-76,-93,64,51
  당기순이익(비지배),5,-2,-6,-2,-1,,
자산총계,"1,239",844,"1,153","1,320","1,307","1,299","1,368"
부채총계,267,188,484,729,727,741,760
자본총계,971,655,669,590,580,558,608
  자본총계(지배),679,647,664,588,579,556,605
  자본총계(비지배),293,,5,2,1,,
자본금,72,72,72,72,72,72,72
영업활동현금흐름,70,-104,9,224,-28,148,123
투자활동현금흐름,-41,13,-20,-354,24,-65,-64
재무활동현금흐름,-30,9,132,32,97,-19,-19
CAPEX,22,6,2,83,5,35,35
FCF,48,-111,6,141,-33,80,92
이자발생부채,0,0,223,262,310,,
영업이익률,1.66,-8.11,-5.87,-10.11,-5.65,3.95,5.71
순이익률,-7.40,-1.94,-8.99,-10.84,-12.69,6.76,3.99
ROE(%),-9.56,-1.94,-10.62,-12.16,-15.93,11.28,8.79
ROA(%),-5.04,-1.38,-7.58,-6.35,-7.17,4.99,3.82
부채비율,27.53,28.70,72.40,123.59,125.26,132.80,125.00
자본유보율,943.14,924.09,822.42,715.46,691.97,,
EPS(원),-485,-89,-485,-530,-647,434,342
PER(배),N/A,N/A,N/A,N/A,N/A,18.31,23.28
BPS(원),"4,883","4,652","4,776","4,229","4,165","3,843","4,182"
PBR(배),1.52,1.70,1.76,1.39,1.96,2.07,1.90
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"14,364,880","14,364,880","14,364,880","14,364,880","14,364,880",,
