주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,115,116,145,153,157
영업이익,29,31,24,49,36
영업이익(발표기준),29,31,24,49,36
세전계속사업이익,32,25,37,57,39
당기순이익,30,21,31,51,35
  당기순이익(지배),30,21,37,51,35
  당기순이익(비지배),,,-5,,
자산총계,194,218,210,298,532
부채총계,20,92,55,97,114
자본총계,174,126,155,201,418
  자본총계(지배),174,124,155,201,418
  자본총계(비지배),,2,,,
자본금,10,10,10,10,10
영업활동현금흐름,25,35,0,91,71
투자활동현금흐름,-16,-13,16,-104,-191
재무활동현금흐름,-6,-34,-2,-9,170
CAPEX,1,1,18,13,23
FCF,24,35,-18,78,48
이자발생부채,10,22,16,16,6
영업이익률,25.54,27.17,16.66,31.93,23.02
순이익률,25.79,18.42,21.52,33.65,22.47
ROE(%),18.66,,26.24,28.85,11.38
ROA(%),16.34,,14.58,20.23,8.48
부채비율,11.52,72.57,35.08,48.48,27.25
자본유보율,"1,631.28","1,616.29","1,934.89","2,399.49","4,129.10"
EPS(원),303,217,375,524,358
PER(배),,,,,30.07
BPS(원),"1,772","1,268","1,586","2,048","4,446"
PBR(배),0.00,0.00,0.00,0.00,2.42
현금DPS(원),90,70,100,100,100
현금배당수익률,,,,,0.93
현금배당성향(%),29.74,24.16,20.03,14.31,26.71
발행주식수(보통주),"9,800,000","9,800,000","9,800,000","9,800,000","9,860,000"
