주요재무정보,"2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,881,"1,295"
영업이익,152,168
영업이익(발표기준),152,168
세전계속사업이익,134,141
당기순이익,104,108
  당기순이익(지배),104,109
  당기순이익(비지배),,0
자산총계,898,"1,177"
부채총계,558,723
자본총계,340,454
  자본총계(지배),340,429
  자본총계(비지배),,25
자본금,34,34
영업활동현금흐름,165,141
투자활동현금흐름,-5,-201
재무활동현금흐름,-4,62
CAPEX,12,18
FCF,153,122
이자발생부채,372,512
영업이익률,17.25,12.96
순이익률,11.83,8.38
ROE(%),,
ROA(%),,
부채비율,163.87,159.16
자본유보율,900.42,"1,201.13"
EPS(원),456,318
PER(배),13.61,14.89
BPS(원),996,"1,257"
PBR(배),6.23,3.77
현금DPS(원),75,75
현금배당수익률,1.21,1.58
현금배당성향(%),24.56,23.55
발행주식수(보통주),"34,191,720","34,191,720"
