주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,825,558,297,180,202
영업이익,60,-64,-156,13,-51
영업이익(발표기준),60,-64,-156,13,-51
세전계속사업이익,62,-85,-270,4,-46
당기순이익,52,-62,-299,9,-46
  당기순이익(지배),52,-62,-299,9,-46
  당기순이익(비지배),,,,,
자산총계,890,943,626,626,584
부채총계,39,121,109,106,129
자본총계,851,822,517,520,456
  자본총계(지배),851,822,517,520,456
  자본총계(비지배),,,,,
자본금,68,68,68,68,68
영업활동현금흐름,75,-65,-99,13,-46
투자활동현금흐름,-68,-116,116,20,74
재무활동현금흐름,-14,139,-19,-2,-12
CAPEX,119,39,2,0,0
FCF,-44,-104,-101,13,-47
이자발생부채,0,92,89,94,109
영업이익률,7.21,-11.48,-52.38,6.99,-25.03
순이익률,6.25,-11.18,-100.71,4.80,-22.87
ROE(%),,-7.45,-44.68,1.67,-9.49
ROA(%),,-6.80,-38.15,1.38,-7.65
부채비율,4.57,14.67,21.14,20.43,28.21
자본유보율,"1,171.66","1,154.76",702.93,713.05,617.79
EPS(원),381,-461,"-2,211",64,-342
PER(배),18.29,N/A,N/A,60.50,N/A
BPS(원),"6,341","6,125","3,848","3,874","3,394"
PBR(배),1.10,1.43,1.49,1.00,1.16
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"13,530,910","13,530,910","13,530,910","13,530,910","13,530,910"
