주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,657,718,695,763,830,921
영업이익,91,79,74,81,97,115
영업이익(발표기준),91,79,74,81,97,
세전계속사업이익,93,80,77,87,122,137
당기순이익,78,66,62,74,100,
  당기순이익(지배),71,62,57,58,68,96
  당기순이익(비지배),6,4,5,16,33,
자산총계,804,869,"1,021","1,498","1,632",
부채총계,101,109,172,213,257,
자본총계,703,761,849,"1,285","1,375",
  자본총계(지배),692,746,808,"1,038","1,094",
  자본총계(비지배),11,,41,248,281,
자본금,55,55,55,55,55,
영업활동현금흐름,84,88,60,157,101,
투자활동현금흐름,7,-108,-106,-555,-161,
재무활동현금흐름,-22,-7,70,382,21,
CAPEX,39,36,72,86,63,
FCF,45,52,-11,71,38,
이자발생부채,6,5,67,64,104,
영업이익률,13.92,11.03,10.57,10.65,11.68,12.49
순이익률,11.83,9.19,8.97,9.70,12.11,
ROE(%),10.80,8.65,7.37,6.31,6.37,
ROA(%),9.96,7.89,6.60,5.87,6.42,
부채비율,14.42,14.30,20.28,16.56,18.69,
자본유보율,"1,151.08","1,246.20","1,357.79","1,784.76","1,897.84",
EPS(원),644,561,517,525,612,866
PER(배),15.11,11.26,13.30,21.14,13.73,10.84
BPS(원),"6,245","6,731","7,289","9,423","9,993",
PBR(배),1.56,0.94,0.94,1.18,0.84,
현금DPS(원),50,50,50,50,50,
현금배당수익률,0.51,0.79,0.73,0.45,0.59,
현금배당성향(%),7.76,8.91,9.68,9.46,8.06,
발행주식수(보통주),"11,086,579","11,086,579","11,086,579","11,086,579","11,086,579",
