주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,780,"1,040","1,253","1,330","1,344","1,546","1,708"
영업이익,-75,69,113,161,131,211,248
영업이익(발표기준),-75,69,113,161,131,,
세전계속사업이익,-118,48,106,62,242,222,250
당기순이익,-115,62,84,63,190,180,202
  당기순이익(지배),-113,63,85,64,191,181,204
  당기순이익(비지배),-2,-1,-1,-1,-1,,
자산총계,"1,678","1,904","2,028","2,701","2,725","2,848","3,068"
부채총계,360,382,414,961,913,792,810
자본총계,"1,317","1,523","1,614","1,740","1,812","2,056","2,258"
  자본총계(지배),"1,288","1,494","1,605","1,732","1,804","2,048","2,252"
  자본총계(비지배),30,,9,8,8,,
자본금,157,159,159,159,159,159,159
영업활동현금흐름,81,136,108,199,281,179,254
투자활동현금흐름,-43,-141,-24,-282,-138,-198,-168
재무활동현금흐름,11,23,-29,408,-148,0,0
CAPEX,23,25,88,77,118,150,126
FCF,59,110,20,122,162,-80,95
이자발생부채,258,244,234,568,505,,
영업이익률,-9.67,6.61,9.00,12.14,9.75,13.64,14.49
순이익률,-14.76,5.95,6.69,4.77,14.16,11.67,11.86
ROE(%),-8.39,4.56,5.49,3.84,10.80,9.40,9.47
ROA(%),-6.68,3.46,4.26,2.69,7.02,6.48,6.85
부채비율,27.37,25.06,25.66,55.19,50.40,38.53,35.84
자본유보율,741.98,826.08,880.31,928.37,"1,059.36",,
EPS(원),-361,200,268,202,601,570,641
PER(배),N/A,45.73,29.48,131.44,25.28,24.65,21.93
BPS(원),"4,186","4,793","5,146","5,552","5,834","6,623","7,281"
PBR(배),2.58,1.91,1.54,4.78,2.61,2.12,1.93
현금DPS(원),0,0,0,,,0,0
현금배당수익률,0.00,0.00,0.00,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"31,308,448","31,731,048","31,741,048","31,751,048","31,761,048",,
