주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,109,266,269,175,395
영업이익,17,110,98,18,19
영업이익(발표기준),17,110,98,18,19
세전계속사업이익,12,54,97,14,25
당기순이익,10,42,76,11,18
  당기순이익(지배),10,42,76,11,18
  당기순이익(비지배),,,,,
자산총계,173,189,268,288,747
부채총계,101,76,80,86,103
자본총계,72,113,189,202,645
  자본총계(지배),72,113,189,202,645
  자본총계(비지배),,,,,
자본금,15,15,37,37,47
영업활동현금흐름,-12,53,109,-64,94
투자활동현금흐름,-3,-10,-23,-16,-305
재무활동현금흐름,4,-10,-18,-3,395
CAPEX,3,10,16,7,103
FCF,-14,43,93,-71,-9
이자발생부채,45,35,32,40,37
영업이익률,15.50,41.27,36.56,10.07,4.90
순이익률,8.92,15.72,28.14,6.46,4.55
ROE(%),,45.34,50.22,5.81,
ROA(%),,23.13,33.11,4.08,
부채비율,140.43,67.59,42.21,42.51,15.93
자본유보율,414.21,689.02,418.80,447.71,"1,231.11"
EPS(원),143,569,"1,028",154,198
PER(배),,,,,158.47
BPS(원),979,"1,531","2,564","2,740","6,898"
PBR(배),0.00,0.00,0.00,0.00,4.55
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,361,925","7,361,925","7,361,923","7,361,923","9,366,542"
