주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,425,386,375,321,329
영업이익,34,8,3,10,11
영업이익(발표기준),34,8,3,10,11
세전계속사업이익,28,32,0,25,11
당기순이익,21,30,13,16,10
  당기순이익(지배),22,30,12,16,10
  당기순이익(비지배),0,0,1,,
자산총계,876,924,920,868,834
부채총계,387,407,388,330,286
자본총계,488,517,532,538,548
  자본총계(지배),487,516,530,538,548
  자본총계(비지배),1,,,,
자본금,31,31,31,31,31
영업활동현금흐름,56,16,24,12,24
투자활동현금흐름,-197,-57,-9,51,17
재무활동현금흐름,117,25,-9,-59,-51
CAPEX,200,72,45,6,9
FCF,-144,-56,-21,6,15
이자발생부채,289,317,312,252,206
영업이익률,7.98,1.96,0.83,3.04,3.26
순이익률,5.03,7.73,3.52,4.93,2.90
ROE(%),4.75,5.93,2.33,2.99,1.76
ROA(%),2.75,3.31,1.43,1.79,1.12
부채비율,79.36,78.69,72.92,61.33,52.29
자본유보율,"1,472.90","1,586.70","1,625.64","1,653.48","1,683.93"
EPS(원),76,95,39,51,30
PER(배),24.91,17.22,34.28,42.74,68.46
BPS(원),"1,575","1,683","1,728","1,755","1,786"
PBR(배),1.20,0.97,0.77,1.23,1.17
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"31,301,281","31,301,281","31,301,281","31,301,281","31,301,281"
