주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,113",850,934,"1,118","1,221"
영업이익,17,-31,26,16,18
영업이익(발표기준),17,-31,26,16,18
세전계속사업이익,-53,-39,17,0,16
당기순이익,-52,-39,17,11,27
  당기순이익(지배),-52,-39,17,11,27
  당기순이익(비지배),0,0,,,
자산총계,669,536,888,"1,057","1,143"
부채총계,611,520,506,662,723
자본총계,58,16,382,395,420
  자본총계(지배),58,16,382,395,420
  자본총계(비지배),,,,,
자본금,65,65,82,82,82
영업활동현금흐름,96,-44,-30,43,5
투자활동현금흐름,-26,-31,-215,-40,-113
재무활동현금흐름,-70,21,272,111,51
CAPEX,27,30,87,33,132
FCF,69,-74,-117,10,-126
이자발생부채,292,315,260,390,431
영업이익률,1.53,-3.68,2.80,1.41,1.45
순이익률,-4.71,-4.64,1.84,0.98,2.20
ROE(%),"3,579.72",-106.25,8.61,2.82,6.59
ROA(%),-7.89,-6.54,2.41,1.12,2.44
부채비율,"1,049.86","3,185.53",132.35,167.76,171.94
자본유보율,-43.85,-107.53,316.06,331.06,362.05
EPS(원),-459,-301,109,66,163
PER(배),,,118.34,236.11,73.12
BPS(원),444,125,"2,317","2,392","2,548"
PBR(배),0.00,0.00,5.57,6.54,4.67
현금DPS(원),0,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"13,093,780","13,093,780","16,496,790","16,496,790","16,496,790"
