주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,837,"1,098","1,180","1,101","1,380","2,392","3,551"
영업이익,70,83,71,32,22,212,377
영업이익(발표기준),70,83,71,32,22,,
세전계속사업이익,32,77,56,-20,66,234,411
당기순이익,34,77,72,6,60,197,328
  당기순이익(지배),34,77,72,6,60,193,340
  당기순이익(비지배),,,,,,,
자산총계,"1,086","1,236","1,373","1,528","2,615","2,809","3,338"
부채총계,442,550,590,761,995,"1,268","1,470"
자본총계,645,687,784,767,"1,620","1,538","1,871"
  자본총계(지배),645,687,784,767,"1,620","1,538","1,871"
  자본총계(비지배),,,,,,,
자본금,36,36,38,38,46,45,45
영업활동현금흐름,-27,107,191,117,-97,146,315
투자활동현금흐름,-95,-196,-120,-280,-657,-128,-170
재무활동현금흐름,7,108,20,59,843,-6,-50
CAPEX,37,44,107,143,277,150,215
FCF,-64,63,84,-26,-374,116,139
이자발생부채,200,282,323,421,507,,
영업이익률,8.38,7.57,6.05,2.95,1.62,8.85,10.62
순이익률,4.08,7.01,6.08,0.52,4.34,8.23,9.25
ROE(%),5.35,11.57,9.75,0.74,5.02,12.22,19.93
ROA(%),3.30,6.63,5.49,0.40,2.89,7.26,10.69
부채비율,68.55,80.00,75.28,99.28,61.41,82.48,78.59
자본유보율,"1,768.48","1,896.14","2,075.69","2,062.52","3,502.30",,
EPS(원),451,"1,012",925,73,710,"2,102","3,699"
PER(배),30.74,12.46,37.06,687.16,129.52,38.07,21.63
BPS(원),"8,718","9,287","10,149","9,976","18,155","17,206","20,936"
PBR(배),1.59,1.36,3.38,5.00,5.07,4.65,3.82
현금DPS(원),95,95,95,95,100,100,100
현금배당수익률,0.69,0.75,0.28,0.19,0.11,0.13,0.13
현금배당성향(%),20.56,9.12,10.23,126.50,14.89,4.76,2.70
발행주식수(보통주),"7,589,190","7,613,907","7,928,895","7,950,804","9,183,669",,
