주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,445,563,651,617,743,875,"1,033"
영업이익,62,110,147,111,150,183,229
영업이익(발표기준),62,110,147,111,150,,
세전계속사업이익,55,110,150,107,158,196,240
당기순이익,52,95,132,102,143,176,214
  당기순이익(지배),52,95,132,102,143,176,214
  당기순이익(비지배),,,,,,,
자산총계,377,584,785,857,994,"1,153","1,329"
부채총계,134,135,189,192,206,211,219
자본총계,243,450,596,665,788,942,"1,110"
  자본총계(지배),243,450,596,665,788,942,"1,110"
  자본총계(비지배),,,,,,,
자본금,18,21,25,73,73,73,73
영업활동현금흐름,45,69,107,85,154,173,200
투자활동현금흐름,-24,-100,-83,-28,-123,-20,0
재무활동현금흐름,-11,91,19,-18,-16,-35,-35
CAPEX,8,14,10,6,53,0,0
FCF,36,55,97,79,100,173,200
이자발생부채,82,58,95,117,129,,
영업이익률,13.94,19.47,22.53,18.02,20.15,20.91,22.17
순이익률,11.62,16.83,20.34,16.49,19.28,20.11,20.72
ROE(%),26.45,27.35,25.32,16.13,19.71,20.34,20.86
ROA(%),14.54,19.70,19.33,12.38,15.47,16.40,17.24
부채비율,55.30,29.95,31.77,28.89,26.08,22.40,19.73
자본유보율,"1,263.01","2,038.10","2,395.14",856.39,"1,029.65",,
EPS(원),505,787,975,699,984,"1,209","1,470"
PER(배),,8.34,7.68,13.95,10.06,8.31,6.83
BPS(원),"2,227","3,527","4,124","4,654","5,535","6,677","7,868"
PBR(배),0.00,1.86,1.82,2.09,1.79,1.51,1.28
현금DPS(원),0,101,135,120,170,170,170
현금배당수익률,,1.55,1.81,1.23,1.72,1.69,1.69
현금배당성향(%),0.00,14.48,14.55,16.86,16.94,14.06,11.56
발행주식수(보통주),"10,515,929","12,355,825","14,553,844","14,553,844","14,553,844",,
