주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,956,870,184,210,125
영업이익,-27,-110,-32,-18,-53
영업이익(발표기준),-27,-110,-32,-18,-53
세전계속사업이익,-96,-156,-66,-105,-99
당기순이익,-296,-495,-289,-115,-158
  당기순이익(지배),-296,-495,-289,-115,-158
  당기순이익(비지배),,,,0,0
자산총계,"1,814",794,518,698,521
부채총계,"1,201",658,383,508,281
자본총계,613,136,135,190,240
  자본총계(지배),613,136,135,190,240
  자본총계(비지배),,,,0,
자본금,202,210,106,152,240
영업활동현금흐름,-39,-9,-11,-41,-25
투자활동현금흐름,2,40,-33,-204,141
재무활동현금흐름,-74,-39,36,287,-8
CAPEX,18,2,10,225,18
FCF,-57,-12,-22,-266,-42
이자발생부채,489,463,288,435,255
영업이익률,-2.86,-12.66,-17.70,-8.65,-41.95
순이익률,-30.97,-56.84,-157.46,-54.58,-126.19
ROE(%),-45.34,-132.04,-210.06,,-73.57
ROA(%),-15.64,-37.94,-52.06,,-25.96
부채비율,195.81,483.70,282.97,267.44,116.90
자본유보율,173.51,-60.28,-31.54,-16.46,5.38
EPS(원),"-4,548","-5,503","-2,711",-493,-400
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"6,982","1,483",639,625,501
PBR(배),0.49,2.64,2.89,2.64,1.85
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,858,238","9,244,866","21,161,517","30,387,071","47,952,433"
