주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,41,31,93,51,78
영업이익,-108,17,10,-204,-139
영업이익(발표기준),-108,17,10,-204,-139
세전계속사업이익,-303,-101,84,-195,-209
당기순이익,-291,-63,58,-219,-209
  당기순이익(지배),-291,-63,58,-219,-209
  당기순이익(비지배),0,,,,
자산총계,"1,926","1,645","1,696","1,535","9,708"
부채총계,280,145,165,239,"5,930"
자본총계,"1,647","1,500","1,531","1,297","3,778"
  자본총계(지배),"1,650","1,500","1,531","1,297","1,197"
  자본총계(비지배),-3,,,,"2,582"
자본금,63,63,63,63,63
영업활동현금흐름,19,3,18,-1,16
투자활동현금흐름,0,57,36,-107,920
재무활동현금흐름,-11,-60,-1,58,14
CAPEX,0,,,0,0
FCF,19,3,18,-1,16
이자발생부채,249,140,147,207,"3,127"
영업이익률,-264.68,53.92,11.17,-400.45,-179.00
순이익률,-713.21,-201.53,63.03,-428.96,-270.05
ROE(%),-16.25,-4.14,,-15.48,-16.80
ROA(%),-14.06,-3.71,,-13.55,-3.73
부채비율,16.98,9.66,10.76,18.42,156.94
자본유보율,"2,813.49","2,522.33","2,715.79","2,362.49","2,070.85"
EPS(원),"-2,313",-504,464,"-1,740","-1,665"
PER(배),N/A,N/A,6.77,N/A,N/A
BPS(원),"15,112","13,736","14,026","11,876","10,961"
PBR(배),0.31,0.21,0.22,0.37,0.38
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,577,506","12,577,506","12,577,506","12,577,506","12,577,506"
