주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,498,496,604,608,573
영업이익,126,107,152,155,105
영업이익(발표기준),126,107,152,155,105
세전계속사업이익,131,113,164,185,105
당기순이익,129,100,146,144,99
  당기순이익(지배),129,100,146,144,99
  당기순이익(비지배),,,,,
자산총계,946,"1,039","1,190","1,299","1,400"
부채총계,80,90,112,110,130
자본총계,866,949,"1,077","1,189","1,270"
  자본총계(지배),866,949,"1,077","1,189","1,270"
  자본총계(비지배),,,,,
자본금,83,83,83,83,83
영업활동현금흐름,183,150,168,174,71
투자활동현금흐름,-22,-340,-138,-64,-152
재무활동현금흐름,-36,-16,-17,-38,-17
CAPEX,12,7,38,58,106
FCF,171,144,130,116,-36
이자발생부채,0,0,2,5,2
영업이익률,25.33,21.59,25.13,25.50,18.27
순이익률,25.86,20.16,24.15,23.68,17.26
ROE(%),15.92,11.03,14.41,12.71,8.04
ROA(%),14.44,10.08,13.10,11.58,7.33
부채비율,9.26,9.49,10.42,9.26,10.25
자본유보율,959.09,"1,059.04","1,214.02","1,372.76","1,472.32"
EPS(원),777,604,881,870,597
PER(배),10.19,14.34,8.77,9.61,11.34
BPS(원),"5,302","5,813","6,600","7,411","7,918"
PBR(배),1.49,1.49,1.17,1.13,0.85
현금DPS(원),100,100,100,100,100
현금배당수익률,1.26,1.15,1.29,1.20,1.48
현금배당성향(%),12.68,16.32,11.18,11.14,16.22
발행주식수(보통주),"16,564,797","16,564,797","16,564,797","16,564,797","16,564,797"
