주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,554,520,555,668,745
영업이익,53,35,34,110,113
영업이익(발표기준),53,35,34,110,113
세전계속사업이익,54,81,44,92,113
당기순이익,47,66,39,74,90
  당기순이익(지배),47,66,39,74,90
  당기순이익(비지배),,,,,
자산총계,668,730,758,833,886
부채총계,98,102,108,125,119
자본총계,570,628,650,709,767
  자본총계(지배),570,628,650,709,767
  자본총계(비지배),,,,,
자본금,55,55,55,55,55
영업활동현금흐름,4,58,62,123,88
투자활동현금흐름,-1,-7,-42,-103,-83
재무활동현금흐름,-11,-20,-13,-12,-28
CAPEX,11,13,31,7,11
FCF,-7,45,32,116,77
이자발생부채,10,0,1,1,1
영업이익률,9.56,6.78,6.15,16.53,15.13
순이익률,8.45,12.61,7.02,11.02,12.14
ROE(%),8.47,10.96,6.09,10.83,12.26
ROA(%),7.19,9.39,5.24,9.25,10.52
부채비율,17.24,16.18,16.60,17.60,15.55
자본유보율,943.00,"1,049.42","1,091.80","1,198.31","1,323.19"
EPS(원),426,597,354,669,822
PER(배),16.56,12.10,20.30,15.39,10.86
BPS(원),"5,220","5,759","5,971","6,507","7,112"
PBR(배),1.35,1.25,1.20,1.58,1.26
현금DPS(원),90,100,100,150,170
현금배당수익률,1.28,1.39,1.39,1.46,1.90
현금배당성향(%),20.97,16.62,27.97,22.21,20.27
발행주식수(보통주),"11,000,000","11,000,000","11,000,000","11,000,000","11,000,000"
