주요재무정보,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,0,0,0
영업이익,0,0,-1
영업이익(발표기준),0,0,-1
세전계속사업이익,0,0,0
당기순이익,0,0,0
  당기순이익(지배),0,0,0
  당기순이익(비지배),0,0,0
자산총계,113,114,114
부채총계,7,7,8
자본총계,106,107,106
  자본총계(지배),106,107,106
  자본총계(비지배),,,
자본금,6,6,6
영업활동현금흐름,0,0,-1
투자활동현금흐름,-100,-10,0
재무활동현금흐름,113,0,0
CAPEX,,,
FCF,,,
이자발생부채,6,7,7
영업이익률,,,
순이익률,,,
ROE(%),,0.39,-0.34
ROA(%),,0.36,-0.32
부채비율,6.58,6.92,7.32
자본유보율,"1,792.83","1,800.20","1,793.77"
EPS(원),-69,7,-6
PER(배),N/A,284.43,N/A
BPS(원),"1,893","1,900","1,894"
PBR(배),1.06,1.10,1.41
현금DPS(원),0,0,0
현금배당수익률,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00
발행주식수(보통주),"5,610,000","5,610,000","5,610,000"
