주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,70,289,463,316,547,764,"1,124","1,533"
영업이익,-6,-9,10,-74,-138,-36,119,233
영업이익(발표기준),-6,-9,10,-74,-138,,,
세전계속사업이익,-12,-100,-75,-93,-200,-43,114,224
당기순이익,-12,-94,-76,-93,-196,,,
  당기순이익(지배),-12,-95,-76,-93,-196,-43,106,208
  당기순이익(비지배),,1,0,,,,,
자산총계,305,584,743,896,"1,066",,,
부채총계,153,698,406,523,810,,,
자본총계,152,-114,337,372,256,,,
  자본총계(지배),152,-132,337,372,256,,,
  자본총계(비지배),,,,,,,,
자본금,30,20,46,53,59,,,
영업활동현금흐름,-13,-90,0,-104,-84,,,
투자활동현금흐름,-133,-57,-81,-70,-71,,,
재무활동현금흐름,90,156,147,172,237,,,
CAPEX,23,60,70,55,57,,,
FCF,-36,-150,-70,-159,-141,,,
이자발생부채,135,410,293,402,454,,,
영업이익률,-9.29,-3.17,2.21,-23.47,-25.18,-4.71,10.59,15.20
순이익률,-17.39,-32.52,-16.40,-29.51,-35.93,,,
ROE(%),-10.24,,-73.70,-26.34,-62.56,,,
ROA(%),-4.61,,-11.44,-11.40,-20.03,,,
부채비율,100.97,-611.35,120.64,140.53,317.03,,,
자본유보율,399.30,-726.11,637.63,628.63,319.12,,,
EPS(원),-219,"-1,557",-990,-905,"-1,692",-361,888,"1,743"
PER(배),,,,N/A,N/A,N/A,17.50,8.92
BPS(원),"2,497","-2,161","3,679","3,496","2,169",,,
PBR(배),0.00,0.00,0.00,2.31,6.04,,,
현금DPS(원),0,0,0,0,,,,
현금배당수익률,,,,0.00,,,,
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"4,066,660","4,066,660","7,642,484","9,152,689","11,784,088",,,
