주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,229,272,326,395,393
영업이익,-34,-12,20,7,3
영업이익(발표기준),-34,-12,20,7,3
세전계속사업이익,-43,-18,1,-7,-4
당기순이익,-42,-66,-136,-9,-10
  당기순이익(지배),-42,-66,-128,-21,-23
  당기순이익(비지배),,,-8,12,12
자산총계,606,600,851,776,765
부채총계,376,335,464,356,319
자본총계,230,265,387,420,446
  자본총계(지배),230,265,273,298,311
  자본총계(비지배),,,114,122,134
자본금,60,81,130,138,144
영업활동현금흐름,-15,-37,-18,25,41
투자활동현금흐름,-85,-16,-132,-79,-13
재무활동현금흐름,47,65,183,95,-10
CAPEX,87,9,27,53,24
FCF,-102,-46,-46,-28,17
이자발생부채,307,282,179,222,210
영업이익률,-14.89,-4.33,6.21,1.68,0.68
순이익률,-18.27,-24.35,-41.62,-2.27,-2.64
ROE(%),-18.55,,-47.55,-7.23,-7.41
ROA(%),-7.05,,-18.67,-1.10,-1.35
부채비율,163.19,126.49,119.97,84.62,71.68
자본유보율,284.39,227.11,110.09,117.51,116.91
EPS(원),-273,-365,-530,-77,-78
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,441","1,424","1,050","1,082","1,078"
PBR(배),2.72,1.31,2.33,2.66,1.95
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,990,993","18,619,742","25,967,013","27,593,398","28,889,293"
